Interval start,ip.src==129.241.208.71,ip.dst==129.241.208.58,ip.dst==129.241.208.59
1,90,0,0
2,270,0,0
3,0,0,0
4,360,0,0
5,0,0,0
6,360,0,0
7,37486,0,0
8,23002,0,0
9,17689,0,0
10,44972,4230,260
11,41395,7114,7788
12,16983,7810,7874
13,65983,26836,27873
14,120062,61748,58314
15,150195,73787,76144
16,17674,8690,8654
17,16364,8130,7970
18,18702,10200,8106
19,48827,24328,24305
20,129031,63745,51690
21,75583,36338,38923
22,69812,38268,31544
23,105516,53540,51852
24,109084,59388,47562
25,136913,84143,52770
26,221052,115761,105167
27,216493,114903,101144
28,252369,130980,121327
29,271848,143619,127857
30,328893,157829,159093
31,331284,174029,157193
32,338883,187275,151484
33,316931,148999,167932
34,509557,271089,238240
35,354809,191710,162807
36,430083,196142,233941
37,629858,386623,243111
38,419969,93514,326455
39,556206,347368,208342
40,363954,144550,207407
41,609009,298693,310184
42,508270,260369,247777
43,448074,213454,234496
44,436572,227631,208941
45,416779,200719,215936
46,387676,204235,183379
47,342261,161323,180876
48,398186,198213,196231
49,405533,200617,198897
50,401289,192977,191901
51,390817,193765,191888
52,397785,199698,196932
53,379192,189940,188156
54,386964,188445,188824
55,416367,191954,192046
56,409672,194081,190494
57,361742,181078,180664
58,335913,170272,165075
59,359352,177703,181293
60,374434,181309,181153
61,374309,188076,185977
62,370950,186609,184279
63,373016,186770,186184
64,376748,187214,189410
65,371211,185666,185545
66,360720,180697,179899
67,371265,185628,185451
68,368407,184033,183998
69,376863,182318,181147
70,384014,183503,180819
71,364984,181735,181999
72,361627,178959,182346
73,371548,185278,186270
74,364524,182975,180699
75,364398,182197,182077
76,365810,183575,182169
77,358088,178826,178564
78,355090,177419,177547
79,360572,180129,180249
80,365981,177166,176605
81,357319,179324,177933
82,366180,182643,183475
83,359826,179930,179772
84,354145,176776,176737
85,363054,181651,181111
86,355550,177241,178185
87,359566,179922,179272
88,363759,182209,181426
89,361887,180997,180828
90,365853,177514,176448
91,365523,182686,182713
92,362483,182206,180277
93,364076,182599,181353
94,366510,183757,182629
95,361105,182016,179089
96,352478,177627,174479
97,360778,180496,180096
98,351167,175448,175459
99,357058,178745,178003
100,364636,176613,176135
101,362444,181397,180671
102,351343,176637,174582
103,361853,181294,180559
104,355650,178615,176911
105,354527,177969,176496
106,358815,180057,178258
107,355462,178243,177095
108,351282,175643,175639
109,355013,177857,176928
110,362033,176299,173688
