Timestamp,Local time,A,B,C
1433508895,55.043,54.896,34.686,54.835
1433508907,67.390,67.301,34.686,67.245
1433508919,19.825,19.740,5.294,19.617
1433508932,32.149,32.056,8.893,31.962
1433508944,44.497,44.392,8.893,44.051
1433508886,46.518,-28.608,46.423,-28.577
1433508898,58.674,38.608,58.552,38.577
1433508910,60.826,38.608,60.714,38.577
1433508922,82.939,38.608,82.830,38.577
1433508935,95.158,38.608,95.067,38.577
1433508947,107.297,38.608,107.232,38.577
1433508880,40.035,39.839,5.383,39.900
1433508892,52.187,52.020,35.566,52.051
1433508904,64.414,64.243,36.566,64.305
1433508916,76.476,76.283,58.552,76.345
1433508928,88.585,88.447,58.552,88.478
1433508940,40.814,40.654,22.830,40.685
