Interval start,ip.dst==129.241.208.71,ip.dst==129.241.208.58
1,0,0
2,0,0
3,0,0
4,276,0
5,10008,0
6,41731,0
7,49731,0
8,64422,0
9,57132,0
10,49582,2056
11,55955,936
12,51813,47453
13,59925,48343
14,66285,50015
15,73645,52129
16,80498,56364
17,71037,53614
18,62659,62166
19,61767,63140
20,62998,62052
21,62418,62241
22,59346,63355
23,63635,61738
24,62114,62297
25,61680,63017
26,62721,62055
27,62558,61418
28,62182,62601
29,63252,62251
30,61764,63063
31,62427,62719
32,62660,61731
33,62401,63075
34,62798,61343
35,61903,62693
36,62715,62645
37,63053,61442
38,62591,62817
39,62021,62929
40,62520,61516
41,62838,63101
42,61786,62763
43,62467,62005
44,63210,62307
45,62018,62131
46,62426,61634
47,63167,62536
48,62325,62321
49,62052,63237
50,62940,61236
51,61973,63608
52,63506,61410
53,62015,62355
54,62330,60484
55,62436,61431
56,63161,61596
57,62382,63099
58,62301,62978
59,62112,62322
60,62445,61113
61,62722,61677
62,62938,62037
63,55681,60160
64,61191,62626
65,58164,61966
66,61606,62389
67,62744,62578
68,62999,61819
69,61947,63089
70,62894,61667
71,62028,62698
72,63078,61868
73,61982,62962
74,62520,62018
75,63105,61165
76,61786,63977
77,62738,62245
78,62764,62001
79,62124,62502
80,63318,61676
81,61448,63061
82,63406,62400
83,61856,62833
84,62160,62790
85,63073,61512
86,62875,62527
87,61850,62695
88,62525,62607
89,63134,62095
90,61791,62327
91,62543,63292
92,62662,62358
93,62309,61602
94,62255,63298
95,63123,61436
96,62076,63119
97,62878,62212
98,62290,62963
99,62116,62531
100,63085,62112
101,62497,62269
102,62037,62596
103,62449,62727
104,63164,61711
105,61787,63018
106,63171,61927
107,62728,62262
108,62277,61965
109,62424,63332
110,62832,61647
111,62244,63251
112,61901,63121
113,62598,61968
114,62989,59806
115,62478,61157
116,62644,62072
117,61956,63850
118,62570,61490
119,62708,61892
120,62379,62384
121,63192,61181
122,62172,63065
123,61307,60732
124,62955,62449
125,63044,61678
126,61640,62905
127,62673,62377
128,62924,62264
129,61717,62840
130,62703,62710
131,61581,62620
132,64123,61902
133,62524,62616
134,62122,62289
135,61377,63173
136,63906,61748
137,62162,62496
138,61696,63152
139,62425,62986
140,62699,62358
141,62815,61989
142,61365,62845
143,62889,62264
144,61760,62993
145,63012,61846
146,62455,63039
147,61984,62369
148,63101,62289
149,61943,62255
150,62817,62400
151,61927,62688
152,63547,62330
153,61140,62996
154,63930,61742
155,61110,63023
156,62931,62403
157,61987,62600
158,62892,62256
159,62493,62179
160,63129,62894
161,62554,62438
162,61560,63061
163,62307,62194
164,63498,61975
165,62174,63083
166,61892,62559
167,62970,62356
168,62578,62673
169,62019,62453
170,62775,62398
171,61960,62655
172,62463,62535
173,63880,61820
174,58504,63178
175,63521,61833
176,61861,63160
177,62990,62157
178,61734,63124
179,62088,62540
180,63292,61861
181,61536,62209
182,62800,62343
183,59000,62987
184,62434,62503
185,62315,62397
186,63017,62125
187,61086,63357
188,63006,61945
189,63010,62270
190,62140,62624
191,61890,62802
192,63240,62092
193,62521,62864
194,61631,63121
195,63458,61677
196,61262,62797
197,63206,62677
198,62730,61825
199,62694,62656
200,62039,62482
201,62018,62735
202,63470,62550
203,61338,62992
204,63437,61532
205,62020,62812
206,61729,63016
207,63127,62315
208,62686,62462
209,62048,62535
210,61736,62718
211,63173,62424
212,62269,62769
213,62453,62272
214,63382,61903
215,63025,62323
216,61407,62726
217,62060,62974
218,63480,61740
219,61974,63613
220,62981,61466
221,61521,63119
222,64055,61815
223,62066,62829
224,62281,62702
225,62261,62345
226,62663,62657
227,62523,62203
228,61741,62642
229,62235,62666
230,62356,62828
231,63141,62240
232,61792,62435
233,62088,62180
234,62512,61764
235,62560,62643
236,62413,62603
237,62392,62303
238,62025,62972
239,62633,62146
240,63258,61938
241,61450,63213
242,62779,62071
243,62362,60697
244,63240,61826
245,62494,61614
246,61829,63305
247,62468,62798
248,62715,62080
249,62111,63512
250,62630,62451
251,62513,61524
252,62769,63234
253,62776,61577
254,61863,63644
255,62620,61806
256,62422,62306
257,62424,62782
258,62758,62359
259,62946,62036
260,61872,62674
261,62818,62305
262,63031,61714
263,62253,62720
264,61899,63206
265,63562,61380
266,62017,63183
267,62202,62922
268,62530,61226
269,62545,62792
270,62291,63433
271,62868,62175
272,62466,62070
273,62114,62356
274,63056,62718
275,61828,62721
276,62751,61850
277,62613,62552
278,62315,62973
279,62653,62799
280,62962,61518
281,62269,62959
282,61952,62555
283,63035,62207
284,62718,62107
285,62281,62756
286,62024,63108
287,62699,62015
288,62202,62700
289,62530,63213
290,62671,62054
291,62876,61731
292,62444,62788
293,62309,61679
294,62303,61493
295,62870,62371
296,58038,56565
