Interval start,ip.dst==129.241.208.71,ip.dst==129.241.208.59
1,0,0
2,0,0
3,0,0
4,0,0
5,651,2051
6,29723,1038
7,36414,35852
8,48446,50610
9,49523,54784
10,53203,52782
11,51843,60384
12,53759,55144
13,52046,61642
14,56299,70959
15,65775,70126
16,66357,84078
17,72901,87587
18,70179,96590
19,75522,93924
20,78418,92566
21,91048,114179
22,90993,110621
23,109281,138397
24,115666,147693
25,113958,146280
26,122810,148677
27,122878,148967
28,142385,159514
29,155988,173455
30,162961,196193
31,179119,212646
32,174736,207835
33,192898,232409
34,174281,250123
35,185404,241357
36,175796,239630
37,219642,238695
38,234812,251808
39,227934,257954
40,230179,261942
41,285627,279753
42,265729,258521
43,267706,303831
44,298124,274425
45,233231,254838
46,284090,285248
47,290276,279187
48,274993,267944
49,230987,274579
50,278487,260933
51,274726,290336
52,271299,258987
53,269084,276543
54,270260,248026
55,272133,254372
56,265296,249016
57,272067,265086
58,258176,292296
59,261813,231760
60,283873,270388
61,271887,259322
62,278304,248129
63,265984,241920
64,241995,255085
65,270556,272251
66,286050,291313
67,250563,229440
68,295691,219349
69,259182,253127
70,245929,288604
71,291770,214858
72,262225,222963
73,273657,259568
74,276681,229458
75,253736,228402
76,265743,198425
77,279583,182614
78,276848,212703
79,280158,232092
80,245358,204490
81,282416,183574
82,261381,221389
83,281170,226596
84,259749,226183
85,263942,235659
86,271105,236647
87,265230,264780
88,287064,253261
89,259057,248872
90,277626,268345
91,258679,267699
92,268669,280816
93,277306,253707
94,257956,254969
95,266947,262576
96,272295,275225
97,264344,266243
98,276252,275832
99,255832,264302
100,267685,255922
101,263035,264977
102,276453,263835
103,278879,274872
104,270858,279130
105,267352,251753
106,266242,275398
107,268809,278232
108,275231,278138
109,267447,276050
110,261657,280212
111,280160,246616
112,256714,275879
113,259387,287524
114,279515,274016
115,260577,249869
116,270705,288012
117,268327,269739
118,267137,295219
119,272645,253783
120,276645,273956
121,276808,265776
122,264395,275871
123,259698,274164
124,265413,255101
125,268582,267765
126,277200,298688
127,268597,249567
128,255399,283238
129,268871,263793
130,281679,277995
131,270246,257970
132,272664,265963
133,265398,290728
134,262477,278492
135,269451,251311
136,277941,294490
137,261277,259364
138,255264,275476
139,275720,274969
140,257404,272828
141,278585,273845
142,265559,264836
143,277610,258132
144,274697,299807
145,265046,256511
146,257964,265914
147,275912,275045
148,284676,270047
149,253039,281228
150,265034,283093
151,273444,266633
152,260366,256989
153,274835,273695
154,263307,269029
155,277315,273296
156,264184,288483
157,276179,257248
158,251650,281374
159,282694,265820
160,275983,265587
161,255137,270652
162,265900,252440
163,262120,294393
164,278788,270084
165,258633,264783
166,278159,290219
167,277392,261557
168,263374,278529
169,270150,262035
170,273031,260977
171,255608,289289
172,270352,237993
173,278386,256709
174,265756,308827
175,261930,235962
176,283222,290236
177,273745,266367
178,264340,288897
179,260073,250774
180,266527,287030
181,271376,264299
182,279025,258374
183,267755,279974
184,286339,256874
185,257850,261666
186,271804,242653
187,268351,300129
188,264802,249511
189,267328,258692
190,259394,271321
191,275141,273172
192,262807,278854
193,280382,297236
194,278061,254054
195,249561,265791
196,278820,298401
197,264311,285523
198,267740,237352
199,271332,262559
200,268325,273591
201,265756,314752
202,262520,249805
203,270618,274150
204,270534,290263
205,263976,253106
206,280918,288002
207,264263,242236
208,279309,257730
209,273157,295529
210,258490,285594
211,273765,234372
212,259089,264048
213,255496,270372
214,279229,268884
215,275520,314189
216,247451,233602
217,280993,267048
218,268907,270548
219,268756,272551
220,271963,316919
221,269973,264174
222,262952,259074
223,267396,283514
224,269101,281014
225,272170,253731
226,257888,288539
227,280297,250563
228,266065,250073
229,262541,315227
230,274571,255176
231,273835,271492
232,269201,262271
233,262226,250231
234,276276,270098
235,255128,269156
236,263598,272497
237,274080,269616
238,270599,272665
239,272037,309276
240,272567,259283
241,257280,234143
242,264711,277732
243,261524,304942
244,278429,261771
245,262696,274414
246,265010,282416
247,276721,259957
248,268850,279745
249,265614,264925
250,263765,250799
251,271528,268103
252,270203,299005
253,277672,247032
254,261580,270674
255,270824,270547
256,283330,272725
257,261536,292339
258,266263,258313
259,277035,253122
260,291025,269651
261,257272,279281
262,270490,281095
263,277458,251067
264,274946,269241
265,248754,300146
266,267080,247642
267,261279,288101
268,271706,285887
269,275628,263408
270,272392,262433
271,268389,285466
272,265322,273074
273,260868,257873
274,278768,263119
275,267075,289397
276,257575,262047
277,276436,257691
278,264945,269231
279,256234,271082
280,282905,274082
281,265182,272397
282,282305,270352
283,270694,272117
284,254958,267184
285,254868,292534
286,281093,279175
287,269551,273201
288,273877,252878
289,266850,270299
290,154667,178576
