Measurer,Timestamp,Local time,A,B,C
A,1434048948,948.754,948.669,948.669,948.608
A,1434048962,962.191,962.113,962.082,962.052
A,1434048975,975.514,975.450,975.389,975.389
A,1434048988,988.915,988.842,988.812,988.779
A,1434049002,2.515,2.447,2.417,2.386
A,1434049016,16.129,16.064,016.034,16.003
B,1434048955,955.969,955.864,955.925,955.833
B,1434048969,969.706,969.656,969.656,969.564
B,1434048983,983.255,983.172,983.172,983.111
B,1434048996,996.745,996.671,996.702,996.610
B,1434049010,10.425,10.325,10.325,10.264
B,1434049024,24.188,24.077,24.107,24.046
C,1434048957,957.684,957.579,957.610,957.549
C,1434048970,970.676,970.607,970.576,970.543
C,1434048983,983.664,983.601,983.571,983.540
C,1434048997,997.024,996.947,996.947,996.914
C,1434049010,10.043,9.958,9.989,9.928
C,1434049023,23.021,22.951,22.922,22.951
