Measurer,Timestamp,Local time,A,B,C
A,1434186152,152.004,151.458,151.916,151.884
A,1434186164,164.349,163.952,164.253,164.195
A,1434186176,176.759,176.477,176.658,176.659
A,1434186189,189.208,188.949,189.102,189.071
A,1434186201,201.631,201.310,201.491,201.463
A,1434186214,214.041,213.763,213.918,213.856
B,1434186158,158.123,158.056,157.844,157.875
B,1434186170,170.429,170.328,170.146,170.176
B,1434186182,182.719,182.621,182.437,182.467
B,1434186195,195.005,194.894,194.712,194.742
B,1434186207,207.294,207.183,207.031,207.031
B,1434186219,219.591,219.492,219.312,219.341
C,1434186153,153.340,153.018,153.202,153.202
C,1434186165,165.790,165.468,165.620,165.680
C,1434186178,178.206,177.966,178.088,178.118
C,1434186190,190.709,190.442,190.533,190.564
C,1434186203,203.155,202.894,203.014,203.046
C,1434186215,215.856,215.607,215.698,215.730
