Interval start,ip.dst==129.241.208.59,ip.dst==129.241.208.58
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,7277,0
14,44641,0
15,46864,0
16,68430,0
17,60438,0
18,68105,316
19,61375,38114
20,64345,37489
21,62144,49451
22,68027,58977
23,57266,57478
24,60101,56454
25,63839,72824
26,58934,74217
27,61756,82341
28,59924,81429
29,71231,100933
30,60347,86771
31,64820,95846
32,67345,123790
33,65555,124000
34,59063,108131
35,60813,140311
36,71488,157883
37,67001,149075
38,71839,184888
39,74920,188932
40,68901,191563
41,70374,223514
42,76263,243355
43,52176,217115
44,62291,274835
45,66852,316267
46,56694,226621
47,54760,279905
48,51065,282990
49,52166,297953
50,49222,302744
51,51091,290076
52,48093,320104
53,46553,281106
54,42853,237868
55,45976,243219
56,48697,280302
57,47903,276628
58,49392,277374
59,51525,279131
60,51907,292449
61,51353,278078
62,50782,288554
63,50232,268377
64,51760,272684
65,51550,276323
66,55221,279223
67,52467,280694
68,54363,278621
69,51012,289309
70,56527,270906
71,51516,279532
72,55830,288935
73,52048,279217
74,52303,285746
75,54196,273480
76,53898,281846
77,54767,279314
78,55534,284401
79,52180,283470
80,55366,265809
81,56491,277347
82,51728,287170
83,56944,279602
84,54192,269177
85,54871,272694
86,56126,279130
87,53948,293995
88,57903,286383
89,52716,281733
90,57584,294969
91,55524,271059
92,57560,272246
93,58459,267009
94,57696,290445
95,57472,274388
96,57091,284452
97,58764,288030
98,57926,275057
99,59200,281621
100,60211,272869
101,55829,276506
102,61926,278094
103,56324,287571
104,61431,282569
105,56600,270872
106,54672,291034
107,61428,278972
108,60273,271208
109,59443,280420
110,59106,288834
111,62474,280937
112,58338,274052
113,61019,289002
114,70966,277766
115,47563,268423
116,54130,285672
117,57479,275408
118,61590,285020
119,66481,397127
120,68551,180340
121,67019,263470
122,71378,283138
123,73329,280632
124,67934,276967
125,71667,279802
126,67722,281453
127,72706,280480
128,70585,298586
129,65391,269799
130,69229,273920
131,67806,285108
132,71975,276591
133,71283,272494
134,68128,286613
135,69462,277719
136,70786,278984
137,70258,284194
138,70026,230438
139,72740,268489
140,72005,271320
141,71054,262676
142,73988,245324
143,71858,248317
144,70968,262027
145,70310,265638
146,71825,249919
147,71004,281601
148,75520,236152
149,78136,244030
150,74221,258180
151,73465,255483
152,73148,263351
153,72146,255926
154,71994,263149
155,72971,246926
156,79003,255404
157,76107,253632
158,77990,257022
159,70017,255259
160,69730,253717
161,74064,261672
162,77656,256462
163,78319,262809
164,75894,263643
165,76244,267059
166,73199,263032
167,75395,264422
168,69337,268487
169,69690,252290
170,70678,267858
171,68036,273281
172,68493,247295
173,69882,255410
174,71666,243653
175,74281,251061
176,72959,255599
177,76134,263620
178,73135,260950
179,73425,284292
180,75316,249434
181,72743,264432
182,73715,251159
183,73106,255796
184,77459,261217
185,74253,267926
186,75409,253636
187,75339,259838
188,73101,265870
189,76967,263203
190,72471,260308
191,73426,276104
192,71676,255344
193,73419,269637
194,76284,277032
195,74345,251028
196,77522,257842
197,74467,260906
198,73726,262120
199,74553,260843
200,76512,265426
201,73100,264955
202,76724,265545
203,74707,258225
204,76035,267899
205,75890,267710
206,74870,260710
207,75397,257887
208,74777,263424
209,74861,266851
210,75938,264584
211,72768,255175
212,78060,270858
213,73110,260345
214,85122,274307
215,63516,243735
216,68195,261598
217,70520,263971
218,69780,266026
219,72468,480144
220,72640,215938
221,72841,194455
222,70663,214126
223,70748,255150
224,72926,255385
225,72363,257022
226,70624,260919
227,73214,253083
228,73397,264503
229,71243,251370
230,73089,249505
231,72266,253156
232,71037,263076
233,74019,251679
234,80059,255475
235,78385,255091
236,73676,253551
237,75339,258333
238,76372,247461
239,76229,278010
240,75674,295682
241,81281,360682
242,27665,119455
