Interval start,ip.dst==129.241.208.71,ip.dst==129.241.208.59
1,0,0
2,0,0
3,0,0
4,828,308
5,38051,21689
6,39962,41002
7,53221,55196
8,62691,68503
9,63593,54615
10,60297,58571
11,74568,61704
12,77033,60041
13,85963,58656
14,89828,57449
15,97560,61942
16,105973,57533
17,109440,58211
18,121248,61032
19,130177,56941
20,135000,60680
21,142044,59103
22,162224,58997
23,183635,58079
24,176499,57579
25,234016,58261
26,207756,54548
27,240024,50382
28,279030,61380
29,262588,45820
30,251103,52164
31,291505,42608
32,240255,49446
33,278191,51214
34,288011,51993
35,293606,55443
36,301467,52947
37,291754,57316
38,383298,58944
39,242117,49592
40,244382,47776
41,237845,54247
42,258549,60065
43,294661,60280
44,276375,60057
45,282098,59704
46,275653,56699
47,281736,57562
48,300170,57900
49,262487,55091
50,283211,57060
51,287505,56947
52,278341,51682
53,270586,54984
54,286440,57165
55,289962,52640
56,281300,54873
57,275249,57275
58,281587,54372
59,285723,54389
60,285455,54006
61,280268,54817
62,287453,54356
63,277895,55981
64,283944,56230
65,281212,53010
66,278472,53031
67,287196,55708
68,271790,54923
69,289213,57931
70,283450,51998
71,275190,54534
72,290112,55968
73,299222,54416
74,272571,54103
75,263752,51690
76,283885,53563
77,278467,52830
78,276532,51173
79,286764,52729
80,278636,52605
81,277238,52470
82,285439,52549
83,297302,51740
84,267858,52355
85,276143,55585
86,276530,58783
87,285025,58168
88,278265,56452
89,291771,59612
90,303274,59385
91,273215,61351
92,276703,57793
93,284460,60028
94,279832,58500
95,278566,57818
96,288079,57693
97,271385,56794
98,286666,56428
99,293724,57666
100,268767,55183
101,277098,55926
102,290946,59310
103,279295,57926
104,283038,57963
105,397617,60410
106,193289,64720
107,271161,55311
108,288066,62174
109,298614,64095
110,289919,65630
111,286766,68402
112,278365,62321
113,284243,67248
114,280020,66196
115,278379,68957
116,280656,66880
117,286776,65062
118,277912,67569
119,275032,66736
120,285085,66544
121,281762,64707
122,275642,65868
123,284873,65551
124,278857,64660
125,294181,64831
126,276165,61259
127,273131,61387
128,281471,63407
129,278809,67413
130,280075,68587
131,281680,69626
132,279399,63231
133,296171,59701
134,280715,66380
135,264724,66614
136,281919,65968
137,279447,65876
138,286489,67776
139,278664,71792
140,284855,68251
141,274271,65044
142,285390,65730
143,282161,65494
144,269096,68484
145,279669,68655
146,283549,69734
147,278856,65864
148,278432,66314
149,284276,66544
150,278143,69039
151,281648,67235
152,284977,68338
153,278242,67812
154,275459,67116
155,284330,67834
156,276247,66079
157,285443,65131
158,280154,68772
159,278999,66822
160,277032,66155
161,280138,69527
162,280942,67360
163,281607,67386
164,281553,70620
165,289807,65143
166,275215,67609
167,275162,66675
168,279047,65536
169,279177,67150
170,293446,67493
171,297944,66871
172,267586,65640
173,271715,64394
174,276579,64394
175,283920,73329
176,274716,59630
177,287904,64478
178,276076,71755
179,282748,66883
180,288332,70571
181,276452,66145
182,282780,68807
183,276419,69857
184,274735,63717
185,284126,65841
186,278737,63659
187,288340,60946
188,281904,66054
189,274478,64902
190,280388,69209
191,245469,66831
192,225679,69437
193,247491,64994
194,255887,70676
195,264177,68678
196,264231,74421
197,262278,62397
198,261523,65951
199,261206,66554
200,274652,68813
201,270822,68418
202,240129,72731
203,262330,69191
204,262081,73203
205,458966,71639
206,220683,79283
207,265144,62484
208,273712,70703
209,284370,70061
210,282114,74150
211,235829,72180
212,220190,72428
213,256080,70620
214,259133,72417
215,261575,74570
216,253945,71872
217,250690,71772
218,271164,73237
219,245883,72162
220,262435,72307
221,249086,74702
222,265208,81121
223,250867,80515
224,258107,91215
225,278565,82851
226,308784,89565
227,255918,62498
