Measurer,Timestamp,Local time,A,B,C
A,1434185590,590.642,590.518,590.518,590.490
A,1434185603,603.425,603.274,603.274,603.274
A,1434185615,615.950,615.830,615.830,615.800
A,1434185628,628.428,628.304,628.273,628.273
A,1434185641,641.041,640.906,640.906,640.906
A,1434185653,653.791,653.706,653.676,653.676
B,1434185587,587.816,587.692,587.692,587.662
B,1434185600,600.432,600.286,600.319,600.256
B,1434185613,613.209,613.031,613.121,613.092
B,1434185625,625.885,625.749,625.749,625.717
B,1434185638,638.450,638.267,638.330,638.300
B,1434185651,651.162,651.002,651.031,651.002
C,1434185585,585.421,585.248,585.278,585.278
C,1434185598,598.037,597.915,597.915,597.945
C,1434185610,610.745,610.597,610.626,610.626
C,1434185623,623.456,623.310,623.310,623.340
C,1434185636,636.108,635.955,635.956,635.986
C,1434185648,648.823,648.686,648.686,648.714
