Interval start,ip.dst==129.241.208.71,ip.dst==129.241.208.59
1,0,0
2,0,0
3,0,0
4,0,0
5,23745,20474
6,32050,39742
7,41315,53273
8,43808,55446
9,51076,63722
10,50870,63940
11,55434,66523
12,73024,93158
13,58704,72650
14,66534,83236
15,72525,92707
16,74097,95373
17,80723,103206
18,78530,96073
19,108484,138397
20,106177,138150
21,101382,130312
22,110881,140702
23,127067,162592
24,119923,160008
25,137983,176791
26,149060,181710
27,161313,205440
28,174336,227566
29,180080,245011
30,202052,265304
31,223142,295604
32,234432,272358
33,252760,282431
34,326345,331761
35,275179,284462
36,281451,283184
37,289041,285640
38,270306,276802
39,270510,264620
40,295212,288138
41,273972,277027
42,228507,221636
43,256287,263776
44,285708,290472
45,280123,273392
46,272088,271723
47,301384,304646
48,308648,310994
49,333612,329542
50,245718,249529
51,217441,215087
52,276269,273065
53,306434,301045
54,305036,308637
55,257943,265486
56,279348,268522
57,303767,314813
58,294641,289266
59,248806,255414
60,243501,239870
61,273561,264125
62,274769,282004
63,276377,270473
64,283061,283670
65,279836,271975
66,274600,277848
67,285158,280246
68,302890,303342
69,297895,304824
70,289318,285055
71,276239,281395
72,234283,241237
73,265510,261185
74,278175,278369
75,286424,287116
76,276367,277681
77,287680,287854
78,274362,274956
79,267858,270894
80,323435,324894
81,277798,257036
82,279024,281316
83,233526,230386
84,268682,274175
85,284650,279966
86,272010,270977
87,279718,271256
88,275537,281659
89,278744,285317
90,305521,309008
91,314122,307578
92,275094,272892
93,274471,284815
94,257695,265143
95,227937,225594
96,282571,276731
97,281569,277293
98,284653,273667
99,282431,276956
100,277649,281362
101,277911,279762
102,274913,281536
103,278210,273850
104,278470,280875
105,311776,314928
106,242259,236329
107,279211,276303
108,276886,276277
109,277178,281985
110,278471,273455
111,277665,279558
112,274185,275765
113,279585,291484
114,279960,275941
115,276764,278315
116,275641,277486
117,278084,274994
118,276661,278871
119,275838,275621
120,276755,279034
121,280014,276973
122,276992,277111
123,276466,280658
124,276822,275438
125,280973,279615
126,277037,276679
127,276061,277833
128,282888,275713
129,279028,277249
130,276755,275613
131,277306,279518
132,279482,278047
133,276531,276450
134,275457,279732
135,278795,277031
136,279689,278727
137,274844,274676
138,278373,280378
139,275903,275652
140,278515,277197
141,278491,275199
142,289129,277139
143,277207,278109
144,275042,279629
145,277799,278749
146,276206,272451
147,279376,281240
148,275416,272027
149,277753,281146
150,277342,276372
151,277165,279714
152,280044,278887
153,276564,279118
154,309714,303859
155,265009,275912
156,282628,280549
157,293677,299670
158,274615,274156
159,245020,253509
160,264095,254573
161,273012,275142
162,279162,280246
163,276140,281343
164,279540,273387
165,274721,279164
166,278994,275140
167,278674,279365
168,278553,281268
169,283839,279507
170,270255,272321
171,279785,279955
172,277541,281225
173,278966,271537
174,274208,290575
175,275174,282622
176,280993,274415
177,276208,279122
178,276165,276380
179,280717,277719
180,275096,275951
181,277879,279047
182,278698,278705
183,277622,277506
184,277646,279285
185,274726,277730
186,276897,274338
187,280717,278965
188,275961,274623
189,277616,280995
190,275674,275309
191,279939,279542
192,275608,276597
193,279873,278049
194,277104,274186
195,277963,279134
196,276323,276654
197,275526,275717
198,278377,279314
199,280838,280712
200,275360,275349
201,278379,276714
202,276303,278220
203,280365,277597
204,273870,278792
205,316598,319086
206,240198,235129
207,277916,277046
208,275978,279420
209,279467,277167
210,275475,276540
211,280096,277926
212,276627,297610
213,276803,284220
214,276225,283684
215,277989,280643
216,279329,276225
217,276002,275747
218,277597,278012
219,277953,279270
220,241140,275651
221,256740,275956
222,268315,278084
223,267929,280186
224,263861,277078
225,269383,274405
226,264489,281200
227,267128,276545
228,262968,276356
229,266205,277958
230,264040,277833
231,264865,275980
232,265059,279709
233,263119,276649
234,265136,279713
235,272366,280290
236,313880,261966
237,304362,283725
238,279977,276757
239,276738,275584
240,278419,274692
241,278581,285202
242,276872,273315
243,280402,279334
244,272915,276177
245,279754,273079
246,274852,281785
247,27112,23817
