Interval start,ip.dst==129.241.208.71,ip.dst==129.241.208.59,ip.dst==129.241.208.58,ip.dst==129.241.208.60,ip.dst==129.241.200.199,ip.dst==129.241.209.248
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,9269,10924,10417,1139,0,0
9,38835,38312,38484,20152,0,0
10,47971,43909,46824,43544,0,0
11,54037,49841,50711,49812,0,0
12,52343,50822,54517,49847,0,0
13,51376,53181,54046,47893,0,0
14,48448,48798,50788,47942,0,0
15,68370,63560,72785,55896,496,0
16,62961,60955,64762,54101,8643,0
17,67360,72640,76460,64983,35331,0
18,65280,72771,74623,63205,44633,0
19,74433,76962,84470,66583,48291,0
20,84682,81845,92788,67950,48500,0
21,81982,84890,85257,74860,50215,992
22,87238,94625,92372,78623,50313,19129
23,90121,89787,93849,80366,54782,45317
24,98021,91128,100178,79139,57276,50011
25,115107,112801,100904,89332,59133,51257
26,128640,124064,145909,103261,62595,52117
27,133177,131407,154493,101202,66843,53203
28,132081,115108,147827,109340,65713,54039
29,149444,142596,143140,116609,78497,64328
30,147849,141986,136827,112654,82388,61874
31,182245,150187,168830,134784,86915,70183
32,169738,156663,168644,135711,87498,72917
33,186640,155885,192875,149257,103873,80002
34,200186,172697,214313,158284,103500,78745
35,163753,194185,200772,158838,105132,81063
36,187207,185105,159207,153780,105736,90860
37,166058,146962,173584,165461,97330,75497
38,187291,148746,232688,202251,111012,109486
39,257815,271882,256322,243342,143761,118108
40,243175,233562,249003,295470,155868,118532
41,290691,254310,224001,284413,176969,133949
42,278845,228078,225290,253623,167986,123882
43,225116,195207,250954,271969,170400,131594
44,248532,204242,270348,288767,209494,156475
45,264880,218509,247732,260293,212711,160694
46,253508,234138,263018,260318,214276,172162
47,246737,235539,262684,281726,255786,183126
48,265904,227133,265387,280241,249967,177053
49,205488,173943,240632,253082,233274,158371
50,194130,193910,196615,218686,180228,165196
51,227229,218887,247016,296648,226452,190001
52,264717,275493,292704,229672,373260,308540
53,277343,265069,325398,189098,334158,332849
54,256387,223267,305992,241358,283897,263506
55,202653,184557,245880,252034,226891,234602
56,289634,247709,268902,293863,279979,293634
57,232926,223793,275043,258466,278242,288699
58,208824,201690,262992,261134,271924,262662
59,274243,216823,297448,269166,251736,278091
60,299195,201289,266586,232010,271507,260359
61,228785,248566,295519,219809,257207,252556
62,209290,228435,262349,187791,247876,260360
63,184445,211101,244989,230322,253775,271361
64,203683,228713,270500,293435,286720,288139
65,230712,257690,302016,273968,288951,289877
66,191567,195243,271447,269587,288470,259597
67,190891,188739,253941,255678,249265,242975
68,172260,216144,263109,293249,262036,275127
69,154381,223619,267059,241371,266612,267848
70,179978,204719,254709,253897,285193,273129
71,209028,221286,270024,230446,257697,255901
72,184672,240256,270226,261779,264848,257677
73,203655,237196,250705,266476,265858,280269
74,173330,223134,241377,303715,275909,263009
75,156950,240457,258916,230384,248335,225883
76,172821,239523,289369,235610,259985,298136
77,223768,208853,259494,188057,254734,209435
78,228671,215253,302053,284341,304121,303661
79,200011,187804,263769,255311,259501,287940
80,203536,195416,269813,279982,252509,281344
81,190467,220483,242672,265973,278180,247707
82,193078,218202,293567,269948,266022,289167
83,182089,198834,268591,270137,259522,272726
84,223990,212505,275841,247018,267865,246360
85,199275,188917,267420,310376,265167,268313
86,192907,237774,262891,239926,261430,267639
87,182916,205890,258369,234177,267471,262779
88,183333,208953,234633,176406,214781,259650
89,173157,240133,227675,268324,194248,272952
90,185447,265549,222883,278471,273927,260567
91,210501,262089,337628,269304,340664,280192
92,230790,245264,307632,261422,266545,252570
93,211184,260624,240124,249737,255876,279448
94,214432,250000,255095,229832,263144,258968
95,204599,227053,286961,260438,264323,268076
96,208899,248457,279044,297922,266715,266971
97,213461,233755,249531,307230,247990,258651
98,205769,221682,277346,275506,268628,265307
99,200361,227077,279541,286432,276725,268277
100,214530,221940,276785,281744,268433,273064
101,205407,201929,247414,291356,212358,196865
102,226969,218600,292907,297591,281017,280062
103,224393,275601,268889,252397,284696,264989
104,222473,247471,336167,295300,298975,315991
105,259107,259967,288214,151691,276904,252393
106,271381,290255,266799,237853,255217,282540
107,274430,286096,268385,266668,271227,258838
108,295987,269827,271791,289842,264506,253552
109,229946,254003,263294,274560,262358,277776
110,268462,286500,269235,266256,268123,283783
111,256885,254565,267549,258058,265162,243098
112,248243,273711,270050,282202,261516,267991
113,253352,234321,229046,189428,249988,240587
114,245057,255891,214135,283841,216720,250346
115,242600,195261,220435,280487,227664,251402
116,291470,306216,319287,241998,313806,271792
117,307540,332233,320063,112728,333888,229104
118,231560,292638,292331,97472,268958,248696
119,280584,260465,278247,97004,259677,253468
120,268594,298218,274595,98552,266096,295854
121,289483,274319,265979,96645,266396,279384
122,270626,240666,270791,99807,264746,310219
