Interval start,ip.dst==129.241.208.59,ip.dst==129.241.208.58,ip.dst==129.241.208.60
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,496,0,0
7,24701,0,0
8,42010,0,0
9,45675,0,0
10,47952,0,0
11,51140,0,0
12,51150,0,0
13,54901,0,0
14,59160,0,0
15,57667,0,0
16,59775,0,0
17,66849,0,0
18,71244,0,0
19,76091,0,0
20,79284,0,0
21,90791,0,0
22,88373,0,0
23,102031,0,0
24,102153,0,0
25,99029,0,0
26,111935,0,0
27,118351,0,0
28,129412,0,0
29,149829,0,0
30,146140,0,0
31,165038,0,0
32,176462,0,0
33,173942,0,0
34,169031,0,0
35,196779,0,0
36,242983,0,0
37,236311,0,0
38,202928,0,0
39,235105,0,0
40,294208,0,0
41,282749,0,0
42,248947,0,0
43,250219,0,0
44,266181,0,0
45,296698,0,0
46,234083,0,0
47,231613,0,0
48,237667,0,0
49,259022,0,0
50,245352,0,0
51,226686,0,0
52,219470,0,0
53,212710,0,0
54,193510,0,0
55,201145,0,0
56,224049,0,0
57,195509,0,0
58,217633,0,0
59,209727,0,0
60,216620,0,0
61,225569,0,0
62,252033,0,0
63,201917,0,0
64,211789,0,0
65,211140,0,0
66,226576,0,0
67,188206,0,0
68,213642,0,0
69,215387,0,0
70,216481,0,0
71,236476,0,0
72,283480,0,0
73,272741,0,0
74,266838,0,0
75,232037,0,0
76,235101,0,0
77,189203,0,0
78,203750,0,0
79,262064,0,0
80,249625,0,0
81,292018,0,0
82,259777,0,0
83,260816,0,24665
84,251896,0,53798
85,252639,0,51216
86,235105,992,56295
87,229914,22104,52808
88,221345,47218,51155
89,299513,51030,54992
90,278641,52815,62570
91,272290,58419,72927
92,206312,46330,63026
93,220065,47436,64681
94,218512,60989,84736
95,248508,61911,79214
96,258291,76387,105468
97,248146,71982,89014
98,127265,74140,97719
99,183094,78475,98936
100,182055,94203,118870
101,223934,86495,111296
102,225715,116707,136757
103,153422,112587,135110
104,174761,111833,138571
105,146782,103909,121371
106,198051,119100,123724
107,154671,128659,149833
108,168485,141920,171401
109,166807,152556,167301
