Measurer,Timestamp,Local time,A,B,C,D
A,1433511489,69.407,69.247,69.185,69.030,48.732
A,1433511501,21.592,21.472,21.410,21.255,8.875
A,1433511513,33.806,33.697,33.635,33.356,25.062
A,1433511525,45.983,45.820,45.758,45.572,25.960
A,1433511538,58.154,58.052,57.962,57.806,46.377
A,1433511550,70.207,70.106,70.075,69.858,46.377
B,1433511491,11.958,11.785,11.846,11.599,4.238
B,1433511503,23.978,23.826,23.886,23.638,8.442
B,1433511515,35.932,35.801,35.832,35.536,26.702
B,1433511527,47.921,47.790,47.820,47.521,40.225
B,1433511539,59.946,59.752,59.844,59.535,42.330
B,1433511551,11.836,11.679,11.734,11.466,2.774
C,1433511487,66.987,66.802,66.586,66.833,37.647
C,1433511498,18.872,18.523,18.624,18.717,10.268
C,1433511510,30.676,30.293,30.231,30.509,12.065
C,1433511522,42.449,42.175,42.113,42.268,30.756
C,1433511534,54.250,53.928,53.927,54.109,46.315
C,1433511546,66.082,65.832,65.833,65.957,48.184
D,1433511490,10.945,7.730,1.762,9.618,10.726
D,1433511502,22.775,22.338,18.377,14.137,22.648
D,1433511514,34.683,27.819,33.635,31.925,34.563
D,1433511526,46.620,45.541,46.377,45.913,46.500
D,1433511538,58.596,46.748,52.828,47.577,58.455
D,1433511550,70.503,64.969,69.642,47.577,70.353
