Interval start,ip.dst==129.241.208.71,ip.dst==129.241.208.58,ip.dst==129.241.208.60
1,0,0,0
2,651,0,0
3,12479,0,0
4,38067,0,0
5,46241,0,0
6,47502,0,0
7,51186,0,0
8,51942,0,0
9,52949,0,0
10,55737,0,0
11,57710,0,0
12,60841,0,0
13,63791,0,0
14,68725,0,0
15,74574,0,0
16,78805,0,0
17,100760,0,0
18,81001,0,0
19,79348,0,0
20,98467,0,0
21,110902,0,0
22,134517,0,0
23,128277,0,0
24,141730,0,0
25,124026,0,0
26,111266,0,0
27,145897,0,0
28,167057,0,0
29,159783,0,0
30,183108,0,0
31,213877,0,0
32,187510,0,0
33,187934,0,0
34,203538,0,0
35,212760,0,0
36,226571,0,0
37,218788,0,0
38,214751,0,0
39,201998,0,0
40,247024,0,0
41,267752,0,0
42,286213,0,0
43,255449,0,0
44,278584,0,0
45,264291,0,0
46,257691,0,0
47,267237,0,0
48,265223,0,0
49,294893,0,0
50,239256,0,0
51,276821,0,0
52,265316,0,0
53,264929,0,0
54,244274,0,0
55,283910,0,0
56,246972,0,0
57,259777,0,0
58,240597,0,0
59,206158,0,0
60,239225,0,0
61,269102,0,0
62,290869,0,0
63,254735,0,0
64,247297,0,0
65,233722,0,0
66,245279,0,0
67,251283,0,0
68,268352,0,0
69,280611,0,0
70,271623,0,0
71,256667,0,0
72,285294,0,0
73,230011,0,0
74,242894,0,0
75,220131,0,0
76,239879,0,0
77,207538,0,0
78,211124,0,0
79,270323,0,10013
80,248020,0,30608
81,227306,0,50342
82,289171,496,46329
83,268400,11746,54539
84,255274,34373,55532
85,251270,45475,59465
86,262851,48887,63386
87,286572,50654,68812
88,278129,54625,69883
89,278872,57619,77541
90,244153,59768,85368
91,277481,65500,88138
92,262490,68946,84793
93,267169,84542,105164
94,237980,71485,86493
95,280989,84402,109163
96,240409,88459,115187
97,234560,95603,118767
98,267239,104852,131193
99,274914,110414,129048
100,245224,128175,151676
101,262107,136761,151078
102,276098,136484,154961
103,240210,123266,128632
104,216560,106499,123128
105,287949,142385,150948
106,288567,167080,163480
107,274618,138065,153855
108,302520,194797,178785
109,249535,201874,196367
110,253180,198330,197273
111,242976,155475,184253
112,249661,179249,194550
113,250630,153682,170226
114,244678,157038,211357
115,278321,221404,206255
116,256802,203442,191440
117,287544,228294,240008
118,255919,228038,291147
119,263018,177636,251165
120,260319,209249,265908
121,267368,262472,270223
122,273257,282254,275225
123,270544,282526,270740
124,259819,250157,265898
125,280091,233180,271242
126,248408,248189,265089
127,290114,288768,277274
128,285115,309631,311116
129,247350,230747,265615
130,261250,225678,256925
131,271381,270820,279083
132,268005,284554,267311
133,267902,288447,309980
134,259250,239599,239640
135,261565,270653,270237
136,278821,303896,293950
137,269745,285740,293083
138,245645,251712,260179
139,277909,244028,253123
140,295306,289811,276960
141,251659,274487,279422
142,272039,254493,301723
143,252734,274803,249608
144,266947,283233,279443
145,263067,252657,284319
146,288242,263238,271072
147,266586,290053,266014
148,266093,269985,275891
149,258211,267626,234651
150,254009,279482,266598
151,282558,272459,265386
152,260039,276823,277539
153,271220,280559,272430
154,278967,256764,271546
155,247163,288519,266026
156,289632,264594,268080
157,262167,257700,270284
158,277446,266237,276232
159,249285,266613,293397
160,282341,275358,304596
161,268821,288321,244520
162,269359,267728,282543
163,264573,253904,292913
164,258175,253853,268783
165,256687,282607,268611
166,272782,295709,263867
167,250858,249876,256529
168,284640,250023,260682
169,277490,275010,258190
170,257853,299891,266889
171,255484,246149,269753
172,269810,253190,278140
173,272640,281021,267316
174,258761,274306,272574
175,266132,276571,285306
176,278819,283927,280856
177,269719,235616,277703
178,257186,276617,306761
179,269351,293542,245811
180,265970,263257,266551
181,272144,278618,285782
182,258723,247791,269748
183,276198,269882,257722
184,267548,290735,289561
185,289060,273597,272787
186,264500,272430,249831
187,256789,261524,273268
188,263238,279316,288193
189,266855,265195,285906
190,251027,261399,256875
191,277638,242607,249852
192,268044,282193,262186
193,273238,278086,276064
194,273811,268646,278012
195,277756,282071,311753
196,252305,271764,293020
197,264061,252177,232979
198,263596,259758,285100
199,251913,276320,275510
200,268356,269928,284854
201,279694,254833,258805
202,260950,295843,286735
203,275911,244463,241045
204,266925,242409,257568
205,251055,251653,257106
206,268925,259144,265002
207,275868,265271,269889
208,274619,282519,273714
209,256684,272753,268458
210,267871,258626,266044
211,261312,226300,273567
212,265320,257792,317209
213,276228,244213,270718
214,262381,248565,239340
215,278571,228316,288355
216,246825,256511,289691
217,269864,288910,289895
218,288157,263973,269904
219,259384,258354,274202
220,267766,256662,252492
221,263465,297915,257451
222,275653,253448,272703
223,261234,255425,270306
224,260057,261331,269499
225,255011,253337,278265
226,274594,249894,273874
227,274921,271869,260738
228,270672,242371,264135
229,267138,256572,294243
230,266492,255741,282330
231,269401,297129,241549
232,267739,260382,277141
233,274743,278532,285374
234,252062,250071,254932
235,282625,242319,291997
236,280997,278661,274409
237,248074,247317,263116
238,264693,237999,249249
239,261017,238834,249515
240,261258,254062,254383
241,275232,276728,302119
242,261163,237493,277023
243,279477,240504,264905
244,267357,238457,256158
245,261953,259125,287110
246,280683,268111,288557
247,250681,242248,279482
248,299819,234351,265315
249,242107,266376,263111
250,278167,281168,286684
