Interval start,ip.dst==129.241.208.71,ip.dst==129.241.208.59,ip.dst==129.241.208.60
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,0,0,0
62,0,0,0
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,0,0,0
78,1139,651,895
79,23325,21569,11685
80,42652,38079,36678
81,50881,47925,50681
82,53278,50883,56866
83,53748,53993,62022
84,52562,53052,57043
85,57037,57427,55689
86,61891,61932,62831
87,63693,63341,70616
88,68192,68645,71944
89,71869,68961,73784
90,77097,75628,90773
91,81341,82248,87465
92,90493,87933,87797
93,90620,89648,89702
94,95204,97151,96597
95,109829,107100,110883
96,106354,107587,105945
97,117152,110386,129133
98,124906,124877,140141
99,130046,137588,142580
100,146647,137579,126151
101,158059,152110,144885
102,170866,155802,151615
103,162834,143274,154311
104,187767,181195,179790
105,208162,196508,190490
106,191912,225668,210239
107,210941,219206,205011
108,241017,228275,222860
109,186967,167363,237236
110,212483,201730,243764
111,236163,262518,248753
112,224642,178170,273010
113,205152,197230,256248
114,244723,214999,266438
