Interval start,ip.dst==129.241.208.71,ip.dst==129.241.208.59,ip.dst==129.241.208.58
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,0,0,0
62,0,0,0
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,0,0,0
71,0,0,0
72,24836,14946,0
73,30758,35932,0
74,42713,45432,0
75,52185,54735,744
76,47960,52417,10554
77,48283,54909,33049
78,48339,53572,44727
79,60077,67423,48452
80,65457,79469,58702
81,62896,66637,57915
82,63544,70011,58057
83,77043,83579,60968
84,74578,91143,64979
85,85088,97055,69434
86,83591,95116,66961
87,90375,103494,81659
88,109296,126722,101155
89,101845,134904,100414
90,102965,127072,90235
91,130664,138864,100660
92,127000,139966,107532
93,141638,112567,121043
94,120798,141312,112459
95,112795,121707,141085
96,141380,112491,121151
97,121365,140577,112904
98,111498,121611,141259
99,141163,113030,121592
100,121337,141824,111803
101,112447,119790,141661
102,141123,112701,120635
103,121725,140354,112542
104,113004,122433,140561
105,139441,112276,122823
106,123242,140026,111539
107,112189,122623,140658
108,139858,112482,122696
109,122909,137874,112341
110,112075,124697,136873
111,137160,112434,125207
112,125839,136739,112722
113,112495,125846,135608
