Interval start,ip.dst==129.241.208.71,ip.dst==129.241.208.58
1,119345,0
2,126271,0
3,149475,0
4,159332,0
5,180171,496
6,166989,26822
7,190021,34057
8,193633,44734
9,213750,47946
10,245465,51102
11,250401,53066
12,252726,53947
13,263119,57947
14,275457,64024
15,268640,66996
16,270148,70842
17,302497,82707
18,258417,74907
19,270419,80301
20,258160,91610
21,265093,94440
22,264897,98190
23,251593,107209
24,254691,113893
25,296901,128177
26,270369,123298
27,254375,136902
28,271793,155855
29,288614,161742
30,283705,169469
31,256629,167526
32,277905,197995
33,296458,246905
34,254628,215519
35,229792,190752
36,234258,216145
37,248246,245653
38,268758,264313
39,268272,265774
40,265269,266503
41,281618,280824
42,289269,303368
43,260542,245793
44,247272,259595
45,266625,273447
46,261854,269191
47,272367,268578
48,284627,281335
49,272250,283611
50,268962,252886
51,255970,253936
52,231569,242584
53,273263,270041
54,273036,271122
55,268490,270502
56,267281,269048
57,267798,267213
58,264720,256147
59,287682,268136
60,266626,265817
61,275402,283420
62,251516,249291
63,274001,277352
64,268750,276976
65,252481,250650
66,267097,269622
67,256913,260220
68,264686,264651
69,273805,268357
70,277174,265277
71,261301,266780
72,269052,265830
73,269690,268515
74,267045,272721
75,263339,267555
76,251995,254649
77,269210,264894
78,270805,267372
79,262162,265368
80,270703,267844
81,264131,271037
82,266946,270814
83,265622,268572
84,246880,256261
85,272131,267819
86,263715,263568
87,272240,268271
88,258851,266376
89,266622,270857
90,267927,276009
91,267708,262380
92,252550,267823
93,267338,266745
94,267605,268542
95,265275,267015
96,267755,273241
97,266132,267802
98,265749,266076
99,269386,268197
100,250164,253760
101,269387,267615
102,263427,265080
103,264070,267540
104,284081,265751
105,222093,265659
106,269161,266778
107,256724,257290
108,273587,265660
109,267968,268252
110,266869,259109
111,265223,268351
112,266877,264818
113,265686,266673
114,266321,265632
115,257817,258415
116,277793,267468
117,258598,264753
118,264560,264436
119,264571,265498
120,266015,265744
121,265660,266433
122,268345,268880
123,265409,261633
124,260799,267412
125,269390,259263
126,279422,274141
127,266534,236871
128,265346,269983
129,259782,267683
130,270645,267894
131,253911,255963
132,259010,266932
133,264688,266972
134,264496,265398
135,266664,268320
136,266967,265586
137,266694,271768
138,266570,276827
139,265064,263176
140,261910,261772
141,263641,255574
142,273280,269286
143,268044,267488
144,264664,260205
145,267209,269615
146,261276,247369
147,271580,268896
148,256557,267637
149,258546,256350
150,263415,266179
151,270010,266521
152,272021,264537
153,260789,270103
154,272171,273242
155,259879,268344
156,263897,255924
157,259949,266528
158,265078,267678
159,268412,266158
160,265150,268964
161,269004,265708
162,265124,263151
163,265067,268851
164,269556,270270
165,253286,253526
166,266220,265000
167,265583,266520
168,263116,267256
169,270517,265332
170,268280,268698
171,254381,265652
172,274889,270766
173,265119,257762
174,20392,25939
