Interval start,ip.dst==129.241.208.59,ip.dst==129.241.208.58,ip.dst==129.241.208.60
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,496,0
12,0,8176,0
13,0,32542,0
14,0,44421,0
15,0,45231,0
16,0,49410,0
17,0,52502,0
18,0,54700,496
19,0,56334,936
20,0,62625,33283
21,0,64359,44564
22,0,69487,47429
23,0,70831,45807
24,0,82329,50371
25,0,83639,51035
26,0,89620,52803
27,0,95146,59844
28,0,104829,61193
29,0,110675,63865
30,0,113930,66955
31,0,116972,69449
32,0,126470,80186
33,0,137990,82705
34,0,142383,86135
35,0,154200,93568
36,0,170700,102854
37,0,179832,105565
38,0,218482,128039
39,0,222784,121049
40,496,224352,117941
41,0,251196,132582
42,38438,234183,125187
43,36773,235791,145349
44,41725,261434,144559
45,48401,253172,167810
46,55180,292244,189844
47,58431,313211,217035
48,63356,311274,242379
49,46875,215346,171213
50,63155,279442,241722
51,52562,238796,212618
52,65777,257489,258188
53,83501,296295,320167
54,83199,272643,287530
55,78385,261807,243160
56,84744,247186,268082
57,92301,259505,263191
58,117968,297865,304090
59,117624,322603,314144
60,136651,243014,244105
61,121964,236164,245427
62,110499,224612,225609
63,123271,245227,242356
64,145553,262064,259623
65,151542,260957,264424
66,175914,259496,254287
67,195367,266580,278303
68,188405,259277,259283
69,204153,263701,260740
70,220982,271777,276229
71,233767,274019,267444
72,257671,276418,270428
73,265049,272310,269244
74,253553,262375,256212
75,272969,270045,267619
76,266897,280419,276390
77,268721,274847,270003
78,265196,268899,263127
79,268908,268509,267602
80,264893,267111,257369
81,265637,260062,260207
82,270153,258156,265197
83,259365,255772,256937
84,274949,266360,272213
85,267789,264837,268672
86,271378,266722,270307
87,270492,265734,268644
88,270677,263296,262328
89,275192,269325,273060
90,269119,265065,262079
91,258989,264368,264894
92,268461,266995,268997
93,268559,268496,268554
94,280147,279780,286363
95,270709,279275,280710
96,266203,273020,273133
97,253043,256587,261150
98,278802,274291,269196
99,262866,260824,260479
100,263211,269440,266233
101,262936,261221,261722
102,265766,256427,259426
103,265626,260305,259713
104,266551,259520,262064
105,272993,268472,268047
106,259030,251961,262738
107,264675,273391,254630
108,272424,267620,268804
109,281167,274589,270352
110,274817,258189,260542
111,272124,283098,286434
112,265206,264627,262771
113,275742,275053,272095
114,254941,266968,263558
115,250917,251004,251952
116,263915,268331,268195
117,272064,276663,276452
118,273008,262086,263358
119,269005,267854,267868
120,265530,263392,264157
121,263899,270894,268548
122,268528,264608,265254
123,248825,264823,266896
124,272858,262239,260165
125,257611,259282,256490
126,264469,266569,271740
127,272649,266170,268366
128,270764,261850,263099
129,267018,271316,266951
130,268928,261748,270144
131,249075,272533,245826
132,260762,246979,264427
133,267451,253190,262678
134,266123,259134,263651
135,272452,271585,277594
136,264858,257358,265616
137,267554,265228,266097
138,266118,266332,265716
139,264362,270183,262767
140,254462,268084,255886
141,267974,261158,260576
142,265587,267506,256140
143,269773,268378,258355
144,260802,266516,263759
145,264754,267630,266677
146,267300,270397,268246
147,260277,263597,259478
148,261970,263780,270264
149,262694,268563,267575
150,268068,266778,273398
151,266821,267200,268563
152,260304,263073,268012
153,268241,264218,267447
154,268914,269397,266713
155,272045,268523,265520
156,255102,254925,254930
157,260043,262514,266796
158,267135,271601,265248
159,267856,258118,267315
160,268593,269802,268748
161,257497,259013,271055
162,260290,274405,269152
163,234017,272911,267284
164,253380,253937,259703
165,271875,261578,260984
166,272829,269371,260464
167,272900,269202,271582
168,274760,255987,266493
169,272138,266655,260890
170,268796,269772,263692
171,270464,260485,264901
172,254774,254529,259804
173,266767,269135,263286
174,273753,266904,265862
175,266300,270166,269197
176,263792,262741,258116
177,267822,258273,268097
178,235469,246304,226223
179,246378,265390,256647
180,246677,264789,274065
181,253330,261327,260243
182,266333,270009,268638
183,266606,266472,267299
184,266178,268628,279904
185,272891,278124,276243
186,262151,267620,268537
187,265155,270078,273996
188,268811,268852,268671
189,259120,257037,255382
190,268475,269040,267527
191,270845,265536,267592
192,280200,265984,267611
193,276053,269216,262683
194,271889,263161,271751
195,267877,266713,260610
196,265777,270084,270275
197,254551,253993,255050
198,268285,263366,264648
199,271704,266045,274380
200,270616,269191,259273
201,267781,254567,266356
202,272185,268148,267914
203,276028,264987,267318
204,272977,265356,267964
205,258381,265375,261299
206,253949,258699,256363
207,269992,263903,268006
208,262140,270165,267303
209,275047,272845,260969
210,259199,261598,273453
211,269941,263073,267762
212,262087,265568,267081
213,255385,268998,253984
214,267077,250422,253876
215,266311,269917,266876
216,266734,265432,266648
217,264501,268282,266782
218,271242,276578,276089
219,260691,252192,255200
220,265442,267978,266872
221,258363,257822,257426
222,270960,265578,264253
223,259883,267990,267494
224,267307,265670,269058
225,271956,272774,274007
226,265193,259709,257227
227,263579,268506,267138
228,270057,267032,267113
229,256675,271881,267950
230,261762,246841,251842
231,264099,259365,271794
232,267869,270414,261870
233,257688,264037,268797
234,258758,259656,262366
235,255711,267479,268821
236,279966,278261,269287
237,278398,252089,264085
238,255078,269719,252901
239,256994,257784,261800
240,261447,260390,265505
241,251691,271117,271783
242,257347,273638,266745
243,266986,269618,270210
244,277887,267109,269168
245,252229,266491,249660
246,266380,256137,278636
247,265795,264722,246929
248,271763,262465,269097
249,269532,269197,262455
250,290360,264542,275637
251,260714,264752,263573
252,264466,263346,259706
253,265148,260330,268705
254,256857,253574,271941
255,258608,255429,258296
256,200928,211132,197143
