Timestamp,Local time,A,B,C,D
1433509465,25.742,25.644,25.551,25.582,25.551
1433509477,37.895,37.765,37.703,37.672,37.672
1433509490,50.097,49.990,49.959,49.928,49.928
1433509502,2.318,2.204,2.172,2.141,2.141
1433509514,14.541,14.428,14.366,14.335,14.335
1433509526,26.688,26.590,26.534,26.473,26.503
1433509470,30.393,30.224,30.286,30.224,30.224
1433509482,42.355,42.212,42.273,42.212,42.212
1433509494,54.417,54.258,54.314,54.227,54.227
1433509506,6.388,6.227,6.258,6.165,6.165
1433509518,18.413,18.235,18.328,18.235,18.235
1433509530,30.494,30.373,30.373,30.352,30.342
1433509467,27.287,27.129,27.160,27.160,27.129
1433509479,39.041,38.908,38.877,38.908,38.877
1433509490,50.866,50.701,50.732,50.701,50.700
1433509502,2.747,2.576,2.606,2.576,2.576
1433509514,14.579,14.428,14.397,14.397,14.367
1433509526,26.433,26.286,26.286,26.285,26.255
1433509462,22.903,22.735,22.704,22.704,22.735
1433509474,34.923,34.705,34.767,34.736,34.767
1433509486,46.983,46.812,46.843,46.812,46.873
1433509498,58.988,58.830,58.830,58.790,58.831
1433509510,10.929,10.714,10.714,10.714,10.745
1433509522,22.896,22.756,22.787,22.756,22.787
