Interval start,ip.dst==129.241.208.71,ip.dst==129.241.208.59,ip.dst==129.241.208.60
1,0,0,0
2,0,0,0
3,0,0,0
4,651,0,0
5,10062,0,0
6,32082,0,0
7,42235,0,0
8,47585,0,0
9,48789,0,0
10,50674,0,0
11,51140,0,496
12,57425,0,936
13,59803,0,36108
14,63007,0,41422
15,66370,0,48692
16,67854,0,51339
17,76499,0,52035
18,80871,0,52018
19,87034,0,59967
20,85532,0,56937
21,89888,0,55778
22,93458,0,60683
23,102475,0,61095
24,112867,0,70189
25,117274,0,73580
26,129093,0,79832
27,140421,0,85257
28,150365,0,90619
29,133447,0,82474
30,169528,0,100983
31,183960,0,115629
32,190725,0,114114
33,197285,212,118149
34,212749,284,117666
35,234061,32982,129114
36,228220,40330,139040
37,261722,46225,150992
38,263459,49745,160700
39,283535,55718,180183
40,251116,51329,177437
41,269578,57827,200806
42,280781,64876,225371
43,258237,67439,231393
44,274449,68723,245113
45,265108,74282,270612
46,275104,78716,260130
47,258539,76769,261232
48,265175,82513,265837
49,268545,94310,262345
50,272128,99746,272156
51,278999,105604,287345
52,250380,105292,257861
53,281334,118317,277125
54,251118,119354,252572
55,272531,128910,255114
56,265445,130672,262751
57,256558,151081,268605
58,258910,160803,256846
59,270708,171340,279491
60,275428,188199,280717
61,267345,176696,256255
62,277398,209968,277367
63,269133,214034,264778
64,266137,235568,259486
65,260681,245068,266068
66,276164,254289,273385
67,261780,263912,253886
68,264924,258361,281932
69,266765,272507,253859
70,267866,262158,274841
71,258900,263160,258148
72,279276,279833,276456
73,276484,284944,282423
74,263152,267273,263412
75,269884,269843,264155
76,277162,282785,276472
77,253159,261486,258552
78,258807,269807,266256
79,263965,242524,257118
80,280068,275705,268980
81,262225,279904,279183
82,257509,256774,259271
83,266849,275619,277259
84,276917,266453,267937
85,260745,252815,259811
86,272539,265190,259906
87,274546,267468,270780
88,257254,255989,261825
89,277448,275174,275971
90,268370,266483,266344
91,256015,258258,257826
92,267869,266157,265228
93,270261,266267,266883
94,277951,275344,274870
95,266485,267519,267921
96,267834,277234,272187
97,264584,251154,259246
98,271484,286239,273040
99,263246,260819,261091
100,258789,259903,267716
101,273192,273691,255636
102,267949,265811,275671
103,267114,266119,264500
104,266130,259026,267367
105,276047,274154,266196
106,257956,265911,265367
107,256675,266579,259140
108,275310,265796,274425
109,267475,266865,266716
110,265015,266375,267535
111,267333,267456,275083
112,266608,265858,270824
113,265027,267383,267821
114,267612,265552,265643
115,264684,266887,267407
116,267481,260281,257238
117,265771,267504,269995
118,265331,280274,272467
119,266967,269640,265772
120,266796,268406,266940
121,266799,268375,265161
122,266251,266543,266833
123,267263,265874,265958
124,257159,266087,257647
125,276227,267717,275690
126,264861,265822,265764
127,258066,256046,259525
128,274220,275596,274927
129,267569,267147,265106
130,266570,256764,257884
131,265640,268699,274928
132,265057,273452,257632
133,267509,267156,274960
134,266677,266082,267276
135,265216,265075,265886
136,258035,263007,257775
137,275336,264169,274455
138,265620,268631,267518
139,266851,271245,266787
140,258537,257905,264350
141,273919,274322,266953
142,267243,267225,266168
143,257728,266216,257053
144,274002,265996,275768
145,266002,267194,267093
146,265983,266988,266169
147,267425,265351,265170
148,264727,263065,257198
149,258602,259874,275415
150,277624,275997,265781
151,271818,266363,266896
152,268964,266861,267382
153,266528,267865,267730
154,266592,266789,265589
155,267318,265686,265883
156,266701,267054,266993
157,266521,266336,265592
158,265778,267122,267766
159,266272,267087,266120
160,265830,256478,257582
161,266746,275663,274339
162,265147,266310,266651
163,266499,266812,265540
164,266236,265591,266418
165,265997,267855,266562
166,266669,257143,267118
167,265142,274666,266091
168,266591,264997,265866
169,266385,266629,266611
170,266473,267623,266513
171,266365,266193,266702
172,266046,265858,266273
173,266564,266602,265091
174,266813,266604,266916
175,265227,265733,266577
176,265957,263686,265345
177,266922,270346,266404
178,266737,266254,266436
179,265881,257464,258128
180,266582,273053,275520
181,265572,268176,266028
182,267106,266446,264806
183,266460,265823,266092
184,263224,267858,262635
185,269480,265635,270667
186,266443,266540,266486
187,266633,257872,257453
188,264426,265629,265274
189,267998,274975,276047
190,265907,257943,257681
191,266170,273786,275479
192,266204,268040,267585
193,266328,265137,265934
194,267349,267640,266238
195,265117,266061,265689
196,266304,266145,265396
197,267788,266814,266828
198,264857,265834,267165
199,265515,265838,257722
200,267365,266638,274286
201,265114,265561,265468
202,266064,263111,258514
203,267599,269426,278369
204,266731,265584,270148
205,273233,266772,268528
206,254889,267228,267533
207,263614,264283,266691
208,265552,258560,257184
209,273264,274458,274199
210,269144,267332,267122
211,266983,265218,265062
212,265742,257885,266571
213,266783,275723,264292
214,267056,265397,264177
215,266370,265864,266063
216,265089,267376,267692
217,268318,265351,272139
218,265257,266295,265789
219,267599,266713,266755
220,265064,266277,266240
221,267242,267185,266243
222,265156,265544,266178
223,266805,265825,268032
224,266439,267584,264800
225,263475,263176,265148
226,266630,265125,267088
227,267326,267114,265810
228,267257,267138,267302
229,264998,267976,265648
230,254449,264149,256192
231,274599,266327,275322
232,267653,266117,265509
233,268470,266938,269135
234,265022,267373,266473
235,267543,264735,266577
236,266946,265849,265506
237,266465,265661,268025
238,266078,271329,264864
239,265773,267436,267060
240,268422,266369,266292
241,264126,266424,266442
242,264788,265170,264761
243,266406,267517,266710
244,261218,256374,257400
245,270159,275566,275632
246,126251,117050,124379
