Interval start,ip.dst==129.241.208.71,ip.dst==129.241.208.59,ip.dst==129.241.208.58
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,276
5,651,0,375
6,33436,0,37799
7,41903,0,49382
8,47208,0,51721
9,48323,0,54051
10,50503,0,54275
11,52728,0,57778
12,59631,0,62906
13,51067,0,55799
14,55515,0,57580
15,60872,0,69521
16,59733,0,63810
17,66793,0,79849
18,73094,0,85582
19,75052,0,95193
20,73473,0,90776
21,84806,0,103333
22,83671,0,96085
23,84842,0,107737
24,103229,0,119991
25,106794,0,124877
26,106578,106,123435
27,114086,390,134503
28,124450,31916,145745
29,139991,42740,160136
30,143792,48403,178552
31,155551,51374,181546
32,169059,54439,205100
33,174351,51380,194602
34,188319,54174,223610
35,190920,57170,234883
36,221021,61116,267508
37,235598,63781,267372
38,251902,66451,265133
39,278858,72864,282342
40,252105,71442,251876
41,264516,69524,265947
42,267913,77669,269499
43,274276,91764,275050
44,269561,94380,272651
45,261065,91143,255056
46,265865,100773,267439
47,274846,110561,271701
48,258061,111737,261016
49,263457,124722,262195
50,264502,137387,264073
51,266332,143714,266353
52,268223,152979,272878
53,268076,164976,270850
54,263719,161984,264774
55,266654,191459,266677
56,274941,202577,268210
57,266813,217942,266136
58,275026,232477,276474
59,256763,238845,254913
60,265464,259651,266984
61,274304,270086,266319
62,269719,273513,274378
63,263864,262061,258294
64,267745,270536,266644
65,267415,267153,267188
66,242597,246487,242526
67,265792,264530,264998
68,267329,267115,266619
69,265391,267462,268400
70,268457,265921,264654
71,271841,272924,272283
72,260416,263930,261088
73,266736,265898,266433
74,269278,271270,267700
75,263215,261936,263289
76,264654,268719,266495
77,265890,264622,268207
78,267970,264975,276159
79,266199,275856,266496
80,267146,267309,265054
81,267006,265303,267392
82,270697,268220,265098
83,269595,264126,265462
84,265235,266890,268269
85,268982,267309,266095
86,266783,266457,266605
87,266879,266081,274647
88,270938,270518,269513
89,290058,288879,284106
90,270749,262895,269157
91,268158,274435,267418
92,263259,264218,263041
93,271162,270878,268875
94,264204,267289,266259
95,244642,239436,241213
96,265209,258220,266044
97,266396,268085,267375
98,265806,264083,268032
99,264626,277805,266243
100,267390,268745,266082
101,271388,264334,264777
102,269424,264314,274080
103,265083,268675,267198
104,272774,270893,273563
105,260470,261997,259081
106,274362,263599,280186
107,260977,270154,255472
108,263547,264146,262687
109,274548,279621,272719
110,260308,261310,260821
111,269666,265818,268503
112,271394,267118,265959
113,266478,266680,264714
114,266676,263159,267357
115,266097,267926,266105
116,270468,265295,264405
117,271390,267300,266864
118,265227,265927,266055
119,265674,266847,268867
120,268673,268058,263905
121,266609,272496,269205
122,265274,267397,264830
123,265103,265926,265959
124,267764,268236,265598
125,266627,266790,267927
126,264457,264825,266224
127,267762,265027,266961
128,264952,270018,264142
129,265694,264904,268519
130,267337,264432,266406
131,266774,266748,263395
132,264314,265322,266749
133,268764,266744,268698
134,264344,267643,266238
135,266501,264868,265441
136,265760,267385,265798
137,266346,265640,266353
138,267296,265675,264796
139,267473,267301,267769
140,264327,266733,265587
141,266885,266810,267687
142,267294,264954,264980
143,266023,265617,268409
144,266608,266364,282434
145,266774,266988,275495
146,264712,266472,264004
147,266709,266104,266136
148,265168,266737,267820
149,266821,265213,266965
150,265738,267516,263707
151,266094,265474,267063
152,266344,266281,266003
153,267547,267527,268546
154,266509,265932,264164
155,265024,265060,265868
156,266120,267971,268852
157,265937,266119,265198
158,266156,266400,265907
159,267462,264632,267817
160,266523,266857,266037
161,266827,281595,263999
162,264626,274374,268965
163,277399,269035,267023
164,277812,266563,264488
165,270984,266857,266752
166,265378,267161,264863
167,266492,266410,266413
168,266332,264733,268018
169,267664,267804,264930
170,267016,266042,266281
171,266996,265261,267787
172,265357,267807,265220
173,265671,265434,265963
174,267016,266457,267942
175,266531,266525,264689
176,264975,264673,265325
177,267372,267895,267230
178,265756,265172,265972
179,265905,266212,265809
180,265232,268088,269706
181,265935,265509,265674
182,267477,265786,264673
183,267110,268221,267950
184,266730,265379,265037
185,265797,265118,266311
186,267395,266733,265533
187,266234,265700,266480
188,263736,266867,266229
189,267759,266809,265976
190,266954,264719,266757
191,266641,268714,268640
192,265025,265126,265599
193,265615,266747,265299
194,265455,266659,271483
195,266920,265970,260946
196,267616,267173,266481
197,265646,267455,267473
198,267221,266004,264432
199,264246,264610,267720
200,268214,267928,265383
201,263864,264265,268405
202,268857,269219,265021
203,265937,265976,265876
204,266778,265958,267500
205,265825,267479,266126
206,262048,265750,261948
207,272829,264224,271158
208,265344,268529,265079
209,265556,266159,266590
210,268154,266625,266108
211,263315,265631,267456
212,267924,266454,266042
213,267091,266594,265997
214,266006,263561,267190
215,265488,266603,264465
216,266172,267262,267536
217,265950,266223,268571
218,266795,267349,265941
219,268562,266635,265102
220,264763,264814,265600
221,266921,268092,266805
222,265335,265857,267792
223,267335,265876,266484
224,264975,266434,266031
225,266499,268449,264642
226,265289,265965,267110
227,267389,265727,268200
228,267438,260058,264760
229,265614,271460,266789
230,266751,266581,265746
231,264826,267184,265919
232,269125,265778,269043
233,264036,264862,264381
234,268443,267130,266673
235,264103,267220,266045
236,268185,266795,268323
237,229594,231330,230118
