Timestamp,Local time,A,B,C,D,E,F,G
1433513035,55.903,55.806,55.714,55.714,55.683,55.592,55.745,55.745
1433513048,8.616,8.513,8.483,8.421,8.421,8.360,8.483,8.452
1433513061,21.367,21.282,21.222,21.162,21.162,21.100,21.222,21.222
1433513074,34.203,34.137,34.045,34.015,34.015,33.953,34.073,34.073
1433513086,46.936,46.843,46.751,46.721,46.751,46.690,46.814,46.814
1433513099,59.631,59.559,59.467,59.436,59.436,59.405,59.498,59.529
1433513032,52.491,52.339,52.429,52.307,52.307,52.216,52.400,52.339
1433513045,5.343,5.209,5.240,5.178,5.148,5.085,5.178,5.178
1433513058,18.128,17.957,18.018,17.823,17.926,17.893,17.987,17.957
1433513070,30.870,30.738,30.768,30.677,30.677,30.646,30.738,30.738
1433513083,43.624,43.475,43.536,43.444,43.444,43.413,43.505,43.505
1433513096,56.324,56.171,56.232,56.140,56.140,56.049,56.201,56.171
1433513034,54.763,54.618,54.618,54.649,54.557,54.525,54.618,54.588
1433513047,7.287,7.104,7.104,7.104,7.074,7.042,7.104,7.104
1433513059,19.922,19.762,19.793,19.793,19.731,19.701,19.793,19.762
1433513072,32.549,32.392,32.392,32.422,32.361,32.300,32.392,32.392
1433513085,45.321,45.189,45.159,45.189,45.128,45.067,45.189,45.189
1433513097,57.873,57.731,57.731,57.732,57.670,57.639,57.731,57.700
1433513024,44.752,44.619,44.619,44.561,44.619,44.438,44.619,44.590
1433513037,57.752,57.584,57.615,57.523,57.615,57.462,57.584,57.584
1433513050,10.622,10.477,10.477,10.446,10.508,10.413,10.477,10.508
1433513063,23.525,23.356,23.356,23.224,23.387,23.264,23.387,23.356
1433513076,36.476,36.343,36.312,36.280,36.343,36.190,36.343,36.343
1433513089,49.371,49.234,49.234,49.173,49.234,49.111,49.234,49.234
1433513028,48.192,48.011,48.011,47.980,47.980,48.072,48.011,48.011
1433513040,0.756,0.572,0.572,0.541,0.541,0.662,0.631,0.572
1433513053,13.413,13.266,13.266,13.205,13.205,13.327,13.266,13.266
1433513065,25.954,25.806,25.775,25.775,25.745,25.867,25.775,25.806
1433513078,38.580,38.385,38.385,38.322,38.355,38.509,38.447,38.447
1433513091,51.288,51.138,51.110,51.079,51.049,51.199,51.138,51.138
1433513029,49.864,49.717,49.717,49.656,49.656,49.411,49.750,49.689
1433513042,2.598,2.494,2.494,2.433,2.433,2.341,2.523,2.461
1433513055,15.435,15.289,15.289,15.228,15.258,15.197,15.320,15.289
1433513068,28.243,28.134,28.103,28.103,28.073,27.980,28.195,28.134
1433513080,40.991,40.839,40.838,40.808,40.808,40.777,40.900,40.839
1433513093,53.700,53.574,53.574,53.483,53.513,53.423,53.636,53.574
1433513026,46.268,46.115,46.115,46.085,46.023,46.023,46.115,46.176
1433513039,59.071,58.871,58.871,58.840,58.840,58.779,58.871,58.962
1433513051,11.797,11.641,11.641,11.641,11.611,11.549,11.641,11.733
1433513064,24.601,24.428,24.428,24.367,24.397,24.303,24.428,24.489
1433513077,37.346,37.190,37.161,37.131,37.161,37.131,37.222,37.253
1433513090,50.154,50.000,50.000,49.939,49.939,49.908,50.000,50.031
