Interval start,ip.dst==129.241.208.71,ip.dst==129.241.208.59,ip.dst==129.241.208.58,ip.dst==129.241.205.108,ip.dst==129.241.200.199,ip.dst==129.241.209.248
1,44548,48738,48311,0,0,0
2,47006,48434,48111,0,0,0
3,49182,50260,49535,0,0,0
4,46544,46479,46958,0,0,0
5,50748,54548,51903,0,0,0
6,54459,57889,55725,0,0,0
7,58023,60039,58675,0,0,0
8,62462,69034,63973,0,0,0
9,69621,69323,67674,0,0,0
10,70386,74096,74548,496,0,0
11,73559,81569,80311,28271,0,0
12,81302,82299,86924,34059,0,0
13,83810,85557,86358,44662,0,0
14,87043,96454,98023,47633,0,0
15,94207,95189,96105,50662,0,0
16,104153,104658,106532,46916,0,0
17,102441,107048,108266,52994,0,0
18,108358,115989,117918,53331,496,0
19,117379,127266,126369,56591,29305,0
20,122958,137476,133402,59161,35994,0
21,127654,149684,141162,65132,43746,0
22,139329,150383,150426,65384,46759,0
23,148775,167768,164068,69695,51025,0
24,158359,170912,170297,75271,44407,0
25,171171,184457,183654,77277,56829,0
26,182764,201964,208312,82500,57741,496
27,195098,204668,198095,88351,59194,12517
28,216824,229874,222060,96899,63936,29933
29,217567,262264,238118,101628,63740,40865
30,244699,269124,265149,107376,68593,47887
31,265342,267493,265442,122979,72740,49818
32,297090,295459,296265,129689,84019,53204
33,270418,268232,268684,128667,84339,52513
34,262104,260580,257403,133769,86510,54124
35,272817,274049,275753,149230,96381,60171
36,273260,273064,275887,163785,104663,65168
37,273641,266079,265464,173083,106498,69092
38,255029,264055,257224,170720,105680,67866
39,272984,274508,287524,205616,127431,77918
40,271755,261545,263789,193143,126319,79111
41,269335,269510,270974,217457,140778,85853
42,287454,287434,287610,257416,159910,90794
43,274133,273838,275973,268275,167179,95195
44,254804,255946,255509,251731,160542,91819
45,251254,260881,256798,241447,171621,94113
46,249813,243375,245781,243698,181008,95488
47,249743,246828,245804,247974,188957,117535
48,266866,266062,265304,273592,213573,123160
49,265358,265211,267364,264936,224090,127560
50,268273,267194,265492,267738,263598,137743
51,266166,267202,266474,267073,265256,146604
52,265694,265836,267791,264538,266634,159372
53,267280,266381,265811,268002,266236,172595
54,266605,266530,265841,266995,272091,182813
55,291012,295850,294222,296436,286809,218321
56,244137,245728,245486,243642,245609,200246
57,263637,256688,260059,265458,265522,218725
58,272792,274940,272020,274045,275825,256853
59,263394,262229,264790,265583,266621,265058
60,263797,265667,263826,268515,263867,261735
61,265723,274293,265117,268653,267086,258484
62,267140,265129,275335,266060,265332,268100
63,267076,268783,269442,266627,267234,272854
64,265262,267716,266676,260155,266703,267356
65,272049,242944,238541,254202,256623,262093
66,289969,302737,306844,300614,290807,289006
67,260462,253189,257612,260318,268403,255896
68,300912,305170,300732,307672,307607,306135
69,263906,261442,261649,268345,265099,263634
