Interval start,ip.dst==129.241.208.71,ip.dst==129.241.208.59,ip.dst==129.241.208.58,ip.dst==129.241.208.60,ip.dst==129.241.200.199,ip.dst==129.241.209.248
1,48749,43692,46249,48512,0,0
2,53305,49379,50825,53784,0,0
3,56318,51914,52027,55338,0,0
4,53796,49724,49919,52825,0,0
5,57279,53730,52340,55966,0,0
6,53696,50972,49813,53390,496,0
7,62049,57475,59186,59012,12192,0
8,75964,71584,66393,70893,42050,0
9,65468,63767,61700,70628,47889,0
10,78087,71155,69607,73727,51690,0
11,80718,77535,76538,74007,52028,0
12,79889,78847,78229,82905,53740,0
13,88333,84700,84597,84122,57157,0
14,97981,92578,85484,93026,60179,212
15,97397,90118,96334,95957,65838,284
16,103001,104179,96623,100256,66750,31886
17,106789,97454,98062,105513,66899,42298
18,114820,107827,110301,111009,77477,48210
19,125868,120984,119666,118577,70321,51233
20,127813,125403,119785,129645,80597,50696
21,145318,136870,136547,136637,91385,54436
22,141853,138400,143390,152065,91244,57945
23,157183,150137,142684,153295,95244,59161
24,172971,168496,166576,167137,103403,64247
25,169054,155607,144460,158904,110622,64179
26,120648,141918,169076,147971,109054,73021
27,168374,187717,155214,188491,123119,73727
28,304096,272538,235721,285285,144473,80817
29,297166,265193,250760,266999,123791,83968
30,280646,254802,262477,238419,142777,87417
31,283126,262703,270306,222419,160281,95879
32,280566,273444,270072,278222,166400,101197
33,278513,270326,278739,285011,179660,111176
34,267072,278592,262419,281267,189833,113482
35,266104,267019,257974,257492,201865,118225
36,275357,269399,268013,277584,214414,127220
37,260604,259872,267975,277206,230984,136872
38,178881,242803,184505,243658,236023,107582
39,154828,164226,192278,234263,257053,117409
40,243343,230476,279941,284091,208069,169655
41,428453,358654,366394,247386,347791,247519
42,328104,359685,266944,193754,295854,203787
43,281314,272802,268323,266936,318541,220042
44,233584,251333,251736,265588,256455,220157
45,261426,265533,283460,258164,274243,226279
46,272466,268556,239282,254196,250693,242660
47,254338,253925,275765,254138,251023,239253
48,269949,262214,261496,302733,270659,268684
49,268504,283213,271528,226010,275906,265275
50,270244,258150,257953,231167,261158,238352
51,255947,250404,249576,151060,203164,253226
52,175827,174468,184372,124328,155507,204819
53,277490,381209,315815,181630,292095,417579
54,199091,221266,379692,344038,401987,300357
55,200718,196806,319553,338452,321645,260293
56,179790,175325,196045,197602,208877,179150
57,333335,305889,331456,350295,306576,329573
58,271137,236533,242199,236303,259225,155543
59,204576,232481,271021,276502,257423,205671
60,238023,240672,244285,239613,231976,210552
61,247979,245420,281350,246831,276250,334058
62,213978,277065,289068,261871,258676,298852
63,211269,252659,229714,211926,230243,271722
64,286305,255305,286363,283706,271950,261355
65,93774,117664,252405,244269,227576,202742
66,114879,108946,298604,286844,321847,285984
67,153499,114783,298994,297039,275799,253008
68,132780,120334,235432,258212,260504,213704
69,172416,157166,259656,262331,259918,119876
70,153376,169480,242031,287368,250089,120250
71,151722,160258,266315,277971,180273,111393
72,136503,167927,242417,269537,178271,101448
73,143383,136273,269730,156536,241006,98786
74,134964,135743,174316,228383,300315,96320
75,136134,120183,182352,232465,273753,93209
76,96804,97295,187163,260258,290622,96652
77,81084,73786,273636,225582,180257,94799
78,81006,89133,228210,228733,252146,91919
79,121001,143950,271505,233469,240280,77725
80,113216,120665,265468,231282,213654,69565
81,88574,104669,235714,246316,232645,61832
82,96398,121390,269552,300622,182735,70285
83,103891,103717,276363,139119,93124,65936
84,96099,112384,309636,128290,95258,65253
85,96312,103992,161570,112948,82644,64941
86,102837,113332,95644,116770,91910,69824
87,148329,205950,117716,116667,84579,63250
88,210050,278224,139595,124260,91477,68403
89,215425,295355,125371,109820,93150,68105
90,254953,264070,106064,131899,97094,110832
91,187525,266435,104600,102838,92994,190883
92,280805,285163,100141,148631,118133,246886
93,237852,199795,113428,127394,97042,299344
94,188450,260979,150998,116519,88499,274276
95,292576,282259,127756,103252,106057,270322
96,229525,250898,90526,101565,99661,270055
97,275142,193332,121760,136972,97965,239722
98,107805,116144,115613,141329,100053,241517
99,117092,113884,99424,116727,100333,236696
100,105898,153382,108039,156399,92151,270909
101,120723,157833,110767,137033,93614,179308
102,114363,132963,83683,123707,100326,109211
103,119361,122976,113120,114509,81330,101659
104,97148,93792,96793,120301,80673,97443
105,113440,114394,104636,184299,120930,100042
106,144266,103890,120607,167725,112909,94488
107,143790,104141,104843,127666,97517,92910
108,132415,237027,96740,117514,88932,96720
109,229626,244499,105323,123131,104546,96311
110,232137,272281,109502,141426,85667,99219
111,263347,266924,94386,104034,95591,140469
112,260906,270279,112889,146604,98106,213011
113,258085,241638,103283,144342,110415,247685
114,241919,247410,116965,119538,101505,241011
115,233330,180862,93611,109074,85023,240089
116,270151,204465,87564,122125,87494,230267
117,255382,245039,68982,77574,68738,177029
118,251854,291496,166812,123123,166862,197840
119,193203,219715,134880,103918,102021,180878
120,260844,262929,113896,155936,89541,313582
121,204694,261151,106348,115390,75613,273814
122,269138,299730,98302,106214,89579,281135
123,281752,259770,111988,137614,112431,243757
124,234973,226194,127581,144841,103090,213895
125,254704,225989,93653,127587,85599,188254
126,200325,308483,102936,144390,102910,299347
127,272796,293809,123004,160347,121380,301774
128,222504,224713,113574,131493,86133,166040
129,217285,285826,140768,182877,175215,257964
130,143002,128892,158165,226599,111684,295601
131,218614,248245,179882,267566,205539,377918
132,230625,223697,146532,196937,198575,243869
133,204009,210595,154821,213633,141322,226772
134,259391,199943,169099,183152,155909,143580
135,213637,206267,162341,188049,146696,157297
136,226160,200326,156523,200478,146057,170832
137,223277,223378,150386,229454,141984,153743
138,203758,213207,134724,190982,151661,209727
139,251848,249746,168178,196780,143700,202624
140,170596,231483,209083,256981,191041,257769
141,123616,123039,152939,180383,138827,204174
142,158583,169284,178954,189287,128432,171952
143,165522,154266,154768,133000,164860,133110
144,154755,186613,208248,106982,175786,92610
145,133944,143241,155491,109203,133736,86602
146,143173,166402,152470,121829,142495,98585
147,140915,153266,152972,210832,143805,98420
148,141646,142750,153478,232259,129840,98666
149,135734,163572,156038,254109,147264,135131
150,149334,168073,253465,232741,152753,105310
151,213125,191062,232472,247896,159563,104973
152,166679,215616,208144,240817,135988,108376
153,213953,225397,255154,231520,132908,133913
154,241287,262145,308623,207385,122723,86636
155,362391,356538,325701,260767,187794,246484
156,270797,345223,343919,259533,121189,278299
157,332452,240538,246085,221328,149110,185334
158,213003,203194,224749,202063,123172,193714
159,218092,295875,227883,254842,133120,256263
160,337187,268620,261997,273584,121810,241571
161,174848,159493,202367,226142,152787,321304
162,108837,133310,137536,237854,142374,298088
163,99971,127114,128050,294082,129825,279749
164,103946,129929,132709,285964,118716,257122
165,106599,125881,133857,321533,144457,228688
166,98768,122665,140257,282706,139048,223950
167,111087,129808,195624,156619,190910,245857
168,107957,140840,193178,201479,211949,203462
169,158794,120347,216354,243997,222071,229646
170,177613,124913,247405,271531,288230,295271
171,167967,108895,147920,291445,323054,243967
172,109529,98740,155910,243992,309843,263756
173,143914,104492,149575,282768,262427,261223
174,130517,91543,163977,231068,265837,265158
175,118136,89280,148940,253513,289156,202921
176,121024,130471,159152,239306,276357,232592
177,122006,169591,171781,237979,328485,261954
178,130771,129621,152930,244380,130368,270248
179,108895,118394,130160,206128,157074,223837
180,121324,118612,130951,179056,152351,274745
181,120274,141286,140740,306063,132375,215148
182,141760,193570,223784,381643,191917,302840
183,127863,204745,162929,259797,232031,213524
184,134835,140351,167964,256985,190168,275983
185,137607,120141,156752,266044,216537,220780
186,152247,124980,184668,225711,255158,292808
187,130489,112358,165957,222767,222362,229336
188,137717,114368,176637,276724,157256,227574
189,124566,116186,161339,212939,138032,268501
190,148199,112881,169265,238610,160545,272451
191,120942,110142,153414,291275,145840,230733
192,88690,89178,100997,200372,94490,193880
193,97719,99042,169227,205636,107909,308354
194,146182,195711,132373,306571,162730,282877
195,217399,230171,131501,370317,143325,353260
196,171922,174044,141109,311106,131909,274891
197,152354,175751,145522,291406,129216,212334
198,118085,158092,120846,223274,104157,143844
199,153059,177465,133846,255084,181387,231687
200,126797,148918,111065,150802,138857,200125
201,134807,143312,129871,173137,146413,153372
202,126607,149764,148482,181593,137999,215249
203,155057,160277,219232,207102,163246,195087
204,222105,190252,229335,206361,121401,197429
205,246199,247289,251606,181109,110569,141730
206,204299,367607,357240,153333,124940,156544
207,279984,216449,230026,144495,165302,234789
208,298433,353339,297337,133369,167764,235223
209,306105,263184,224634,122368,164645,193541
210,262774,210170,231687,123324,141897,181392
211,197702,251384,217136,121464,119005,169538
212,255466,266661,278676,130373,129277,181017
213,258449,275787,281821,117015,127892,199577
214,298826,223757,146523,130167,128531,181548
215,182795,176360,138031,161966,130125,171079
216,126189,190670,140097,180292,129042,166447
217,99497,182911,136619,176387,126057,151139
218,99836,181997,134775,154036,116779,166863
219,99235,211644,134964,215786,126421,205570
220,125228,233074,193940,207177,136784,250461
221,141496,201948,213115,175467,126323,240897
222,164149,202700,219375,186754,127851,247085
223,153803,193141,198677,186105,125534,223136
224,153419,195743,218890,187945,115647,242310
225,165312,198631,265464,195865,137657,249720
226,240412,268336,223694,167092,118117,258353
227,239844,239149,260967,176855,105345,217907
228,232114,268347,282118,186244,136034,257979
229,232678,203735,296052,187027,127619,216723
230,226103,224960,211959,177494,115379,252664
231,217718,201913,255508,165232,116267,248160
