Interval start,ip.dst==129.241.208.71,ip.dst==129.241.208.59,ip.dst==129.241.208.58,ip.dst==129.241.208.60,ip.dst==129.241.205.108,ip.dst==129.241.209.248
1,49732,47487,48930,48224,48562,0
2,51318,49782,52481,49774,51696,0
3,52322,51118,54147,51981,52799,0
4,52920,50046,51414,49107,49968,0
5,54602,55249,58416,54432,54601,0
6,60121,60244,64939,57109,57561,496
7,64698,63211,67172,60053,60118,11456
8,65224,68017,70396,64481,63570,45014
9,68361,71874,76901,64306,68130,49677
10,74978,76262,78140,67913,75623,51882
11,79713,79796,81851,77019,75880,52752
12,85852,81668,92706,74820,79954,53446
13,90356,88765,94269,80362,89445,55836
14,95924,94479,101897,87500,89274,60644
15,97417,95481,103220,89404,94254,60161
16,107950,100077,109386,95087,99129,64499
17,115977,108817,118253,99515,106651,66522
18,131711,114137,133327,110877,113980,68697
19,131001,122203,131632,117581,121959,73483
20,148322,129897,142780,124495,131227,79805
21,146731,139382,150035,136892,138502,86448
22,157626,148192,158178,140912,153125,92781
23,170778,159116,169342,153781,158100,97637
24,182429,166902,181306,163500,169465,101850
25,186548,178808,187607,173991,184213,109078
26,199396,180730,198002,177922,188945,114832
27,224454,210960,225161,204704,219936,125318
28,220783,211324,222516,211037,218781,135841
29,247239,229244,255143,223335,242557,141219
30,272200,259693,267025,238638,262735,148835
31,271807,264814,278018,262999,265807,158518
32,266348,265673,266023,265943,276303,173205
33,263187,276510,265743,267329,266382,181313
34,273451,273673,273710,283343,273594,190581
35,288664,284384,287450,283325,282532,216469
36,276205,265806,274043,265425,266496,230300
37,269054,266556,271484,267560,269043,233601
38,260863,268861,265839,257513,277326,251231
39,265585,262464,259161,265387,252761,247557
40,256842,263338,249726,252642,267071,258188
41,266896,275829,282535,279146,270538,279923
42,272098,274132,275506,278850,265046,273891
43,276288,267133,265891,280809,282889,262687
44,270212,280858,278427,274162,274885,276178
45,268841,259755,266882,258115,259491,263191
46,266877,274723,265586,270120,269756,277248
47,265373,268132,268101,266280,275514,276862
48,268312,267620,266230,274663,267371,265125
49,256939,265235,256447,257373,259239,258773
50,267412,263327,269774,276838,271768,267272
51,274062,269597,272930,258702,267363,276339
52,265930,257926,257113,264226,257532,264985
53,266456,272619,266878,267749,271449,260277
54,267468,276483,266150,266306,262057,266058
55,231415,236513,233702,239628,239382,239781
56,300562,305363,307843,301493,302520,302014
