Interval start,ip.dst==129.241.208.71,ip.dst==129.241.208.59,ip.dst==129.241.208.58,ip.dst==129.241.208.60,ip.dst==129.241.205.108,ip.dst==129.241.200.199
1,42020,40939,32396,40143,35352,35354
2,45703,45304,43592,50261,44641,42996
3,48116,48144,49624,52955,48261,48700
4,51357,50340,50423,54745,49764,51767
5,47719,47846,51012,53160,48525,49877
6,55416,55529,51283,55308,51996,55228
7,56762,55007,55402,58811,54805,55130
8,59465,59002,55532,60695,58723,58626
9,65925,65400,61259,70246,62781,63950
10,68362,71102,63529,70306,63462,63270
11,75589,72582,65793,76375,69584,70610
12,79719,75456,69997,82427,70624,73011
13,84020,81304,73674,84596,73587,76757
14,87878,86893,75570,86140,79932,78830
15,96255,92813,83981,96079,84762,87839
16,100545,98192,81973,99939,89362,86810
17,110318,102948,87150,106478,92994,94056
18,117004,113009,97820,112558,103576,101107
19,125344,121868,103055,119092,109779,103456
20,121295,119293,105987,126645,115358,105545
21,137475,137660,115985,137830,125715,118784
22,145800,148393,122376,139573,128825,126216
23,156713,147779,129558,154899,138165,131080
24,164504,168444,140680,166679,154045,142462
25,175082,174701,143621,161795,149273,148947
26,184807,180282,164832,195431,167054,173436
27,193397,197125,166353,201983,177355,165864
28,239223,223362,211032,233866,220675,202334
29,222910,213303,192822,222530,196284,193399
30,257972,233640,195519,228418,207525,207480
31,259100,258736,220212,259087,230591,216637
32,268416,266390,235994,256161,262417,259138
33,264546,256127,260419,274464,263939,263472
34,263874,277379,256528,268873,253290,251837
35,264536,264841,266863,254574,274959,272850
36,271642,267164,275840,267202,276647,270457
37,265409,265469,267110,275495,264747,271755
38,256172,268528,265604,256563,258551,257303
39,277869,262908,266067,266274,268036,265383
40,255411,258822,256415,266007,274185,266443
41,277398,281497,272117,270907,258114,267821
42,247068,261558,260096,265758,256584,255469
43,279218,270273,269106,267570,266774,268194
44,284570,288825,271290,275447,275577,281705
45,272604,262376,268619,265594,266406,265745
46,260042,265808,268909,268949,268769,270521
47,276670,277135,267180,274792,267512,267807
48,256019,266428,270422,267496,275462,266146
49,277616,266463,283176,256203,268038,275094
50,261038,270904,265125,282721,282979,277677
51,276500,268034,265731,268703,266307,267192
52,265982,259165,275473,258955,261888,268646
53,253917,260727,254250,263306,265329,263021
54,274798,274333,284502,281031,271839,273016
55,284738,271227,270104,259730,268380,278159
56,251203,271090,249579,271803,262225,260788
57,268979,265182,265792,260836,257898,251637
58,268945,267588,275579,269245,269658,262855
59,257008,265640,256303,259568,256993,265940
60,265971,261585,269004,267011,266506,273999
61,269974,270105,264276,267591,266363,256013
62,274697,270977,268652,273933,274242,266662
63,268437,266395,265581,268171,258873,266807
64,266029,267970,266848,267567,266847,266089
65,276434,268063,266113,266447,266464,266644
66,259451,266250,265632,267935,266219,266291
67,265770,267036,272473,267539,265467,267190
68,273844,274785,270195,264919,270050,265680
69,264890,257311,271064,267020,272374,284008
70,269530,264709,271216,263801,280833,260633
71,257609,267856,271905,267102,255732,269060
72,265550,266404,266158,265197,267615,266738
73,265910,265458,264796,276465,265684,264653
74,268179,266447,268563,258001,267763,275540
75,264253,265524,266436,266626,275309,259184
76,266446,267992,265765,265543,258056,266775
77,268477,265755,267082,266101,266931,266129
78,265401,266063,266061,266521,265265,267556
79,267306,268758,266868,268018,268047,267782
80,266026,264548,266939,258100,268566,257319
81,265872,264536,266100,265158,264181,274400
82,266832,265947,264231,270374,254936,266458
83,270761,269945,269588,271681,272833,272436
84,266196,267588,269027,269594,272601,269529
85,263273,264804,265043,265768,272773,265987
86,264881,264379,263792,265469,267181,264583
87,263797,265313,265077,263191,266007,266621
88,259737,260584,256413,261556,262765,257979
89,275462,272474,274934,273136,277279,272006
90,273433,275804,270604,273699,273351,273498
91,266248,265481,268877,265963,265468,269177
92,269204,270134,268785,268334,266926,269780
93,267540,265731,266783,268516,267018,268255
94,266907,265835,267147,267969,267650,265973
95,249286,267745,266076,255958,257154,266947
96,261449,257327,252843,253597,267395,246770
97,249765,234720,271886,256178,267330,255824
98,290394,296850,275710,287220,271873,271461
99,280401,280988,272653,278228,273149,290524
100,273215,266288,276477,272730,275481,287337
101,226333,230944,224048,217001,245783,221818
102,267352,265896,267236,268447,268989,270986
103,272108,263976,265994,267450,268690,262684
104,267685,263568,267140,265970,265017,273041
105,266434,273186,262926,271765,265943,259310
106,277019,277285,286062,280312,273289,274576
107,269647,275915,273224,275444,261865,285914
108,287792,280081,280814,285671,277532,278783
109,273486,271786,274229,275529,273231,271406
110,241198,240526,244383,238978,250745,241182
111,261202,264148,266646,262384,248202,264968
112,293713,292225,292795,293496,291362,292151
113,280750,279553,278787,279510,278978,279428
114,269392,270539,265235,262659,266173,273291
115,267895,270158,266177,269852,269969,273574
116,272144,270292,267676,273879,268348,272692
117,263433,265202,269894,269132,266598,255754
118,265555,264726,264600,266641,270590,266223
119,273183,273567,272768,274681,276413,273856
120,267394,267286,267503,264225,268624,264202
121,263591,263281,255063,268515,264708,258536
122,264029,262523,274623,262664,263945,262002
123,262870,263809,261738,262878,262580,262530
124,275535,275585,275817,275498,276720,277232
125,262988,260396,260460,260350,262293,258864
126,263757,265987,264968,263151,263293,265138
127,270452,269549,267653,272050,268350,269874
128,264338,266046,265963,266219,267594,264654
129,265797,264401,263587,263506,265969,263503
130,266510,267725,268931,269862,267088,270882
131,271947,269828,270584,270239,260561,271991
132,265446,265020,265779,263077,264486,263087
133,266594,267841,268193,266788,266002,266854
134,260152,260288,258318,261627,261416,261843
135,264189,265686,265812,264386,263577,264780
136,269424,270771,266598,267535,269794,266366
137,269099,273747,270849,271182,270095,270951
138,270415,272875,271713,269684,271717,270692
139,267621,266963,267415,270294,267634,267357
140,261899,260899,261407,260991,261763,263047
141,259691,263808,260863,259966,258569,259006
142,267414,266781,266630,266396,267568,265881
143,268377,265811,266365,265577,264980,265835
144,267176,269542,268615,267645,270361,269226
145,267558,268673,267460,268097,268342,269972
146,267993,266446,266441,267651,266228,267050
147,265561,264567,265589,268711,266784,265694
148,264227,266890,260996,265812,267765,267042
149,269948,269203,274477,268233,268322,268122
150,270290,269343,270017,265711,269450,268924
151,256930,253489,254872,265227,257860,258267
152,267811,268486,268160,275458,265228,269328
153,274276,274162,275126,268580,273197,277579
154,259719,260826,261609,262663,262446,254322
155,264350,263612,264320,264262,262339,263161
156,266958,261035,261371,268406,266967,268515
157,267823,274926,273307,267424,267143,268616
158,264575,265220,263449,265442,268405,265247
159,270888,265671,266905,268905,267240,266558
160,264229,261094,259593,265308,264628,269187
161,266548,267779,268847,268359,264292,265298
162,266412,247877,257111,264037,255080,252967
163,272019,292441,281247,264050,285414,275356
164,264073,267333,269494,262932,263654,263587
165,258998,261596,264274,260087,260590,263297
166,264188,265001,263929,264667,263175,267003
167,278588,275839,269086,276297,277345,281330
168,258345,260944,260156,260659,261306,259909
169,267838,269295,267803,268597,266522,268753
170,266495,266338,265639,265841,266047,266207
171,261172,266847,259489,267672,270905,266766
172,262662,266149,262859,256039,258792,258279
173,277287,265160,269393,267598,273124,275579
174,263713,255361,274830,274469,263335,264361
175,265075,273747,271043,267584,273428,266948
176,265681,267273,267146,270715,266992,271836
177,266987,267413,267398,267778,266139,268162
178,268167,269379,268154,270597,270025,260103
179,259960,257913,253468,257582,256626,260282
180,268577,268307,280462,269177,273054,273206
181,271611,269036,260150,273833,273297,274030
182,274518,269555,272949,265822,262599,261761
183,268361,266684,266083,265232,267983,266416
184,266208,265270,267957,266266,267129,269367
185,257511,269789,267581,258511,260293,263716
186,263854,262584,253857,264673,271253,263389
187,268781,268802,278514,278652,264595,270480
188,272841,263566,261684,261044,266276,263302
189,269202,266316,268823,268238,269402,268166
190,265355,268432,265414,256417,266283,265227
191,261029,260807,238111,273318,254037,262264
192,246459,246214,260096,245718,244987,247232
193,273842,273823,265855,273280,273320,273587
194,267081,267310,267770,267962,268136,266822
195,262573,262614,262420,262409,252938,261940
196,262554,266599,265655,255733,276454,255408
197,264779,270621,269570,279429,260715,281293
198,278404,257822,266615,258766,275196,266563
199,254284,264181,254744,274796,247757,254890
200,279406,269372,271024,265710,286594,269756
201,252267,258677,271685,263554,256214,272144
202,275245,275003,274691,267399,272104,275658
203,247195,254967,238772,248099,244670,230370
204,261032,257930,249684,248169,251848,259330
205,255004,264739,274854,270152,276431,274670
206,277582,267482,263910,263619,256922,257751
207,268885,273014,269944,268263,265652,279301
208,253710,277019,256592,272877,276566,275038
209,277204,271514,273324,266708,265648,263131
210,267682,258670,259985,266528,253169,259317
211,263759,275988,275986,280078,278745,275375
212,269192,268226,265908,269242,268730,256448
213,263054,264178,254564,263512,254604,278751
214,271976,268061,281323,269234,268924,262802
215,282425,254911,283926,275869,276738,274198
216,267695,279043,266052,267309,272368,264492
217,271025,266868,273660,256346,268470,269394
218,265020,263246,257039,262911,260684,257433
219,258890,268693,259577,281770,263316,262697
220,276204,266080,258133,257096,269746,274169
221,255646,267920,269791,265224,264011,263841
222,272508,252285,261352,266966,268537,273121
223,260603,268795,265503,263216,264240,258024
224,267532,276759,278717,268255,272308,277893
225,270652,256428,254577,264462,273308,255816
226,263891,272336,254591,259018,259067,262027
227,257390,268098,268965,273125,265163,270517
