Interval start,ip.dst==129.241.208.71,ip.dst==129.241.208.58
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,260
11,0,5403
12,0,7528
13,0,7874
14,0,7874
15,0,8010
16,0,7943
17,0,7885
18,0,7874
19,0,7874
20,0,7874
21,0,7946
22,0,4021
23,0,0
24,0,260
25,0,7347
26,0,7470
27,0,60532
28,0,56911
29,0,26660
30,0,8617
31,0,25752
32,0,18788
33,0,16667
34,0,39292
35,0,41405
36,0,52460
37,0,63223
38,0,89063
39,0,102048
40,0,204878
41,2416,84793
42,7981,58266
43,7878,64893
44,63389,70164
45,48495,131455
46,8666,172474
47,8642,132995
48,8294,161278
49,52303,163522
50,11189,237270
51,8614,206976
52,36426,228059
53,42278,279029
54,22004,262508
55,59024,272634
56,52358,322863
57,58313,319030
58,106160,129006
59,104278,316484
60,182444,281276
61,84219,269233
62,139007,251326
63,123372,298756
64,134405,227737
65,180370,266119
66,188568,276517
67,203290,277763
68,226300,270921
69,205764,223236
70,254135,250954
71,213152,222505
72,253850,218354
73,251515,212492
74,223539,207515
75,213294,201534
76,210368,200775
77,198982,193265
78,196248,188884
79,196848,192285
80,200176,195723
81,193030,187008
82,196375,192075
83,197571,193474
84,195845,191109
85,194829,189682
86,195608,190632
87,186820,182568
88,174213,171149
89,179879,177496
90,187163,182726
91,187923,184107
92,193063,189200
93,187938,185351
94,190650,186664
95,191595,186276
96,185837,182400
97,185536,182219
98,189662,186344
99,185613,183590
100,184042,181205
101,185347,183232
102,187242,182740
103,187451,182935
104,189394,185886
105,182848,179690
106,186132,182342
107,181699,180678
108,181465,180117
109,183910,183626
110,184513,182163
111,180799,177118
112,184575,180606
113,184319,183517
114,180932,179801
115,181446,180242
116,183184,182145
117,180697,176385
118,182964,178177
119,187057,183969
120,183365,181102
121,183382,182275
122,185615,184875
123,180813,178840
124,185738,184945
125,183505,182943
126,179505,179279
127,181034,178810
128,181140,179827
129,177358,176617
130,181516,179859
131,181141,180302
132,181531,181652
133,180864,177646
134,184453,181064
135,176703,175881
136,179739,178493
137,178716,177154
138,180246,178967
139,179576,176237
140,180119,176489
141,177353,175713
142,60394,58921
